comment,paslon,sentiment
"pekerjaan jika di kerjakan oleh seseorang yang memiliki ilmu dan pengalaman yang sesuai dengan bidang pekerjaan nya akan lebih maksimal hasil kerja nya dibanding di dikerjakan oleh orang yang tidak memiliki ilmu dan tidak berpengalaman di bidangnya 

contoh  seorang nelayan dan tukang kayu disuruh membuat lemari kirakira hasil jadinya lebih bagus mana tentu lemari yang dibuat tukang kayu pasti lebih bagus dibanding dengan lemari yang dibuat oleh nelayan karna tukang kayu mempunyai ilmu dan pengalaman didalam membuat lemari

maka jika semua jabatan di suatu negara di jabat oleh orang memiliki ilmu dan pengalaman di bidang jabatan yang di emban nya maka kemungkinan akan lebih maksimal hasil kerja nya untuk suatu negara tersebut

andai ada salah satu kampus di indonesia mengundang beberapa para guru besar dosen dan pakarpakar terkait untuk bersamasama mengkaji merumuskan dan membuat beberapa mata perkuliahan sebagai bekal ilmu dan pengalaman serta solusi pemecahan masalah untuk beberapa jurusan seperti dibawah ini 


 jurusan ilmu presiden dan wakil presiden 
 jurusan ilmu menteri perekonomian 
 jurusan ilmu menteri keuangan
 jurusan ilmu menteri pendidikan
 jurusan ilmu menteri sosial
 jurusan ilmu menteri kesehatan
 jurusan ilmu menteri pertanian
 jurusan ilmu menteri perdagangan
 jurusan ilmu menteri pupr
 jurusan ilmu menteri kelautan dan perikanan 
 jurusan ilmu menteri bumn
 dan jurusan ilmu menterimenteri terkait lainya
 jurusan ilmu gubernur dan wakil gubernur 
 jurusan ilmu walikota dan wakil walikota 
 jurusan ilmu bupati dan wakil bupati
 jurusan ilmu kepala camat 
 jurusan ilmu kepala kelurahan
 jurusan ilmu mpr
 jurusan ilmu dpr
 dan jurusanjurusan terkait lainya

tujuan dari dibuatnya jurusanjurusan diatas adalah sebagai bekal ilmu pengalaman wawasan cara menangani masalah serta syarat bagi calon pejabat 

contoh  calon walikotawakilnya harus lulus kuliah dari jurusan ilmu walikotawakil walikota agar nantinya ketika terpilih menjadi walikotawakil sudah mempunyai bekal ilmu dan pengalaman untuk memimpin mengelola menangani beragam permasalahan didalam suatu kota","andika_hendi, luthfi_taj",netral
02 grusak grusuk gk tenangpak andika hendi lebih tenang,"andika_hendi, luthfi_taj",netral
pak andika yes,andika_hendi,netral
"ijo ngayomi
coklat wereng
rambo vs sambo
mulyono mahkamah keluarga
fufu fafa susu bendera","andika_hendi, luthfi_taj",negatif
dari suara rakyat jelata pak andika ini klihatan nampak lebih aref orang nyainsyaallah klaw jadi gubernur jateng pasti adil dan makmur juga merakyat,andika_hendi,negatif
tni bersama rakyat,andika_hendi,positif
"ngopeni  nglakoni
ngopeni sapi
ngopeni wedus 
ngopeni kucing
ngopeni kirik
ngopeni pitik",unknown,negatif
yg suka pungli rakyat jawa tengah tahu,unknown,positif
tni for rakyat,andika_hendi,positif
no 2 terlalu banyak janji,luthfi_taj,negatif
baguslah klo gus ingin memperbaiki moral dan akhlak para bawahannyajgn seperti fufufafa yg viral sekarang,luthfi_taj,netral
jangan percaya dg janji janji ala muliyono,unknown,netral
semangat no 1 mantap pak andika,andika_hendi,negatif
yg nmr 2 anggotanya mulyono yg suka ngibul dari gorong2,luthfi_taj,negatif
mantan panglima tni tdk diragukan lagi kemapuannya sbg pemimpinpak andika,andika_hendi,negatif
love u andika hendi banyumas 01,andika_hendi,positif
anak saya lahir 2018 saya tambahin nama prakasa ditengahnya terinspirasi dari bpk andika perkasa sehat selalu pak semoga menjadi jateng 1 siap coblos no 1,"andika_hendi, luthfi_taj",negatif
"60  1
30  2
10  masih bingung","andika_hendi, luthfi_taj",negatif
ak ykin kyknya pak andika jdi gubernur jatengamin,andika_hendi,negatif
bintang 4 vs binatang 3,andika_hendi,positif
mudah pa andika jd gubenur,andika_hendi,positif
sebaiknya dlm debat ketika lawan debat bertanyamenanggapi pasangan yang lain memperhatikan apa yang disampaikan tdk sibuk ngolakalik bendelancatatan indikator tdk menguasai konteks kecuali terkait data angka2 redaksi peraturan,luthfi_taj,negatif
"kata paslon no 2 pemimpin tidak harus hebat tapi bermanfaat
pemimpine ora hebat yo rakyate kocar kacir to kalau ada yang hebat dan bermanfaat kenapa tidak 
bersama rakyat tni kuat jateng perkasa","andika_hendi, luthfi_taj",netral
lutfi ngopeni pitik ae bos seragam coklat seragame sambo,luthfi_taj,negatif
pilih rambo apa sambo,"andika_hendi, luthfi_taj",negatif
pak lutfi dan p taj yasin,luthfi_taj,positif
paslon 02 ngopeni nglakoni sungguh luar biasa beliau memberi teladan untuk rakyat pemimpin yg berakhlaq mulia akan membawa rakyat semakin hidup bahagia,luthfi_taj,positif
jateng perkasa,andika_hendi,netral
"11 komitmen paslon 2
1 subsidi pangan murah
2 kesehatan gratis
3 sekolah gratis
4 ngopeni pesantren
5 ngopeni umkm
6 ngopeni nelayan  petani
7 ngopeni pekerja
8 ngopeni desa
9 ngopeni anak muda
10 ngopeni bumi
11 ngopeni dengan hati","andika_hendi, luthfi_taj",negatif
bismillah semoga bapak jenderal tni purnawirawan andika perkasa jadi gubernur jatengwarga semarang mendukung mu pak andika dan pak hendi good luck,andika_hendi,positif
saya percaya tni,andika_hendi,positif
kiro tujuane taj yasin opo yo kabeh dicaloni,luthfi_taj,negatif
tni yang lebih mengayomipak andika semoga terpilih jadi gubernur,andika_hendi,negatif
"jelas pak jendral andika
purbalingga pilih andika utk jateng perkasa",andika_hendi,netral
udah jelas tni lebih merakyat jateng siap menangkan bpkandikahendi hormat kami pak rambo,andika_hendi,negatif
insya allah andika perkasa  hendi menang,andika_hendi,negatif
menyala jendral andika,andika_hendi,netral
misal paslon2 menang pak ahmad luthfi punya hak untuk ganti wakilnya gak si  diganti pak hendi cawagub 1 aja cocok keknya,"andika_hendi, luthfi_taj",negatif
"all in andika  hendi 
01  jawa tengah perkasa lebih hebat menuu indonesia emas",andika_hendi,negatif
tegal rambo,andika_hendi,netral
tni bersama rakyat,andika_hendi,positif
bravo tni,andika_hendi,positif
pps desa selanegara,unknown,positif
pps desa selanegara,unknown,positif
pps desa selanegara,unknown,positif
no urot 1 terlalu di setir di arahkan ibuknya karena ibuknya dak bisa menerima masukan dari anggotanya idenya haros dadri ketumnya dak bisa di ganggugugat oleh masukan yang lain,andika_hendi,negatif
kami suka sama pak andika tapi saya pilih pak lutfi kenapa karena pasti dari pusat ke propinsi lebih mendukung yang pemerintahannya singkron dan cocok sampe kabupaten,"andika_hendi, luthfi_taj",netral
komentar kalo di belakang enak ya tinggal jiplak dan melengkapi,unknown,negatif
udah lama ikut pdi jateng dak maju2,"andika_hendi, luthfi_taj",positif
saya dari wonogiri tmbh yakin memilih 01,andika_hendi,positif
dilema disatu sisi suka pak andika tapi ngga suka sama bu mega,andika_hendi,negatif
"masa jateng pilih polisi
tni donk bro","andika_hendi, luthfi_taj",negatif
salam untuk pendukung gus yasin,luthfi_taj,positif
"tni adalah kita
andikahendi terbaik 
dr jakarta kita doakan 01 menang di jateng",andika_hendi,positif
"kalau minuman yang ada badak nya
kalau partai yang tidak ada banteng nya",andika_hendi,negatif
"panglima tni  walikota semarang yang sukses  

andika hendi mumpuni rendah hati apa adanya tidak nyontek dan tidak menjatuhkan kandidat lain",andika_hendi,negatif
bismilah 01,andika_hendi,positif
aku batang aku dukung andika  hendi los ra rewel,andika_hendi,negatif
pendukung biru muka cina smua 01 jowo,andika_hendi,negatif
please jangan bawa bawa tni dan polisi tidak baik karena mereka harus netral juka ingin beranalogi gunakan banteng vs garuda itu sudah jelas siapa calonnya,"andika_hendi, luthfi_taj",negatif
di mana2 kok gk ada yg milih si lutfi kim  mana ini katanya kuat,luthfi_taj,netral
"peringatan bapak ibu hati hati dengan serangan fajar dari bpk mulyono ingat habis pilpres kemarin beras naik dan hutang negara 10 triliun hanya dlm waktu 2 bulan januari sampe februari  semua dilakukan demi wowo dan anaknya duduk di istana
dan hanya bisa lihat mereka ketawa ketiwi saat wajib militer jangan sampe di jateng mengalami hal yg sama","andika_hendi, luthfi_taj",negatif
"pak andika terlihat tenang dan  mampu menuangkan pemikirannyabdalamnsetiap jawabanpak lutfi berapi api tapi sering salah menjawab pertanyaan panelisterlihat pak lutfi punya kebiasaan menghapal ngga fokus pada apa yg ditanyakan

misalkan pertanyaan apa yg dilakukan di dalam koordinasi kerjasama antara perintah pusat pemprov pemkab dan pengusaha dalam menjalankan pembangunan malah jawabannya keluar jalur semua","andika_hendi, luthfi_taj",negatif
"lawan yg gk seimbangdr publik speaking aj udh beda level
pak andika mmg top",andika_hendi,positif
grobogan pak andika,andika_hendi,netral
no2 sibuk buka contekan  saya dari bali doakan semoga pak andika dan pak hendi menang pilgub jateng 2024,"andika_hendi, luthfi_taj",negatif
fokus gus yasin pas memaparkan visi misi msok agama muslim,luthfi_taj,netral
lihat lah yasin ngak punya adap ngomong sendiri di saat pak andika ngomong,"andika_hendi, luthfi_taj",negatif
02,luthfi_taj,netral
klasikjanji janji klasik,unknown,netral
saya orang jawa timur jujur lebih pilih  jateng  perkasa,andika_hendi,netral
selama preman preman masih adatak ada gunanya uu,unknown,netral
"ah polisi 
maaf sudah sangat tercemar",luthfi_taj,negatif
untuk kalian semua ini 11051 langsung gas menuju to the point debat di mulai,andika_hendi,positif
"bantu jawab desa tembarak di mana 

dari tadi cari di maps ketemunya di temanggung kan temanggung bukan ujung timur jawa tengah 

please tulisin nama desanya yang benar apa",unknown,negatif
kesini gara2 nyari visi buat jwb tugas pp,luthfi_taj,netral
semoga 02 menang,luthfi_taj,negatif
02 japlakane akh men h,luthfi_taj,negatif
gus pungling paling banyak itu dimana gus,luthfi_taj,negatif
jual nama orang lain kami tak ingin di pimpin orang seperti itu andika jaya,andika_hendi,negatif
no1 gas trus,andika_hendi,negatif
saya warga karawang mendukung penuh pak andika perkasa hedrar prihadi jateng 1,andika_hendi,positif
bismillah andika hendi 01  bijak berbicaranya tidak ambisius keren semoga amanah nggih bapak,andika_hendi,negatif
saya dari purbalingga kaligondang tetep ndukung lutfi yasin mg2 qobbul,luthfi_taj,negatif
jawa tengah butuh nasionalis relugius  gus yasin perwakilan santri,luthfi_taj,netral
orang cenderung pilih bukan dari mana partainya tapi darimana dia berasal,unknown,negatif
"pilih gubernur yg memikirkan rakyat n tidak numpang hidup dr jabatannya 

gunduli_pdip
yo_dho_ndholor",andika_hendi,negatif
"jangan percaya mantan polisi
karena mereka hnya menyusahkan rakyat",luthfi_taj,negatif
ngopeni lha po kewanalus sitik ganti ngrumat kudunejargone wae kasar po neh meh dadi pemimpingas pak andika,andika_hendi,negatif
ayo temen2 menangin 01 soalnya tempatku benteng 02,"andika_hendi, luthfi_taj",negatif
seperti saya memilih pak prabowo sebagai presiden saya pilih tni jg yg jadi gubernur jateng,"andika_hendi, luthfi_taj",positif
gaya kepemimpinan bpk purn tni andika perkasa emang beda santai tegas action,andika_hendi,netral
tampang rambo kelihatan ketidak ikhlasannya,andika_hendi,netral
saya cek pati jawatengah juga banyak yg  pak andika80,andika_hendi,positif
tetep pilih no 1 perkasa,andika_hendi,negatif
mas yasin nyalon kok trusmbokyo di nikmati dulu brapa tahun gitu lo mas yasinsperti lagi gila jabatan,luthfi_taj,negatif
moderator harusnya bilang angka 5 kan bukan huruf 5,unknown,negatif
jateng perkasa,andika_hendi,netral
02 ngopeni pungli dan tilang,luthfi_taj,negatif
"02 omongannya lemees ambisinya kuat
stay cool pak andika perkasa","andika_hendi, luthfi_taj",positif
no 1,andika_hendi,negatif
1,andika_hendi,positif
pilihan terbaik gus yasin,luthfi_taj,positif
gus yasin terpercayalanjutken,luthfi_taj,negatif
kok bisa no 2 kami dgn pak hendi,"andika_hendi, luthfi_taj",netral
no 2 terlalau banyak membawa presiden no 1 tetep yes,"andika_hendi, luthfi_taj",negatif
klaten total untuk pak andika dan hendi,andika_hendi,positif
02 kakehan umbar janji ngopeni apanengopeni mafia yo wk,luthfi_taj,negatif
pilih figur bukan partainya untuk jateng makin maju jangan salah pilih kawan sesuai hati nurani,luthfi_taj,negatif
01,andika_hendi,positif
satu kk satu rumah janji yo gampang giliran dadi ditage yo muter muter koyo ntut nang sarung jaji rasa muluk muluk isine 0,andika_hendi,negatif
pak andika  hendi,andika_hendi,netral
01,andika_hendi,positif
pak andika cerdas  memahami lapangan  dari cara berbicara tanpa teks  beliau  salah satu putra  terbaik bangsa,andika_hendi,positif
kalo 01 terpilih dan 2029 nyapres ataupun nyawapres puji tuhan kami dukung,"andika_hendi, luthfi_taj",positif
tetap pak andika juara,andika_hendi,positif
cilacap tetap n 1 andika hindi gas pol,andika_hendi,negatif
apakah ada aplikasi dari pemerintah yg bener bener berguna kayanya ide aplikasi agak kureng wlpn itu all in one mending webhotline ga menuh menuhi memori hp kentang,unknown,negatif
pada ngeh gasih logat  cara bicara nya gus yasin sama bgt kaya pak ganjar wkwk,luthfi_taj,negatif
tetap tni pilahan warga jateng,andika_hendi,positif
namanya polisi citranya minta dekengane penguasa mental bosku masyarakat cinta tni,"andika_hendi, luthfi_taj",positif
seneng banget pak 02 ngumbar janji manis,luthfi_taj,negatif
makin mantap pilih jenderal tni,andika_hendi,negatif
malah bgt klo milih oknum pemeras,unknown,netral
oo indah sekaliduduk dipinggir pantai sambil kukenangkan kisah si baju loreng yg lorenglah,andika_hendi,positif
tanpa mou koroptor mati di tangan rakyat saya tak akan pernah percaya politikus,unknown,negatif
rakyat tak butuh retorikanamun aksimembunuh koroptor dengan mengarak koroptor dan siapapun bisa menusuk dan mematahkan kepalanyaadalah titik menuju negara berkeadilan,unknown,negatif
kapan di sahkan membunuh koroptor di tangan rakyat langsung,unknown,negatif
dewe yo wani los jendral,unknown,negatif
nonton debat sama temen temen saya malu banget dukungan saya disorakin calon gubenur sama wakil nya lupa apalagi sama rakyat ciloko jateng,unknown,negatif
saya org smg tinggal di timika pengen pak andika yg jd gubernur,andika_hendi,positif
pokoke aku emoh karo ladusingtitik,unknown,positif
untuk pak andika saya orang bali tapi terima doa dan salam saya semoga bapak terpilih 1 periode selanjutnya ri 1,andika_hendi,negatif
gas poll 02,luthfi_taj,positif
pati satu suara buat pak lutfi gus yassin,"andika_hendi, luthfi_taj",negatif
ya allah merinding gw semuanya milih 01 bismillah ya allah mnt ridhomu 01 menang,andika_hendi,negatif
bissmillah 02 menang,luthfi_taj,negatif
jawa tengah pilih 02 pak lutfi insyallah menang,luthfi_taj,negatif
"bukan masalah tni atau polisi
karena mereka sudah menjadi petugas partai

01 pdip  megawati 
02 gerindra  prabowo","andika_hendi, luthfi_taj",netral
tni yes,andika_hendi,positif
tetep dukung lutfi,luthfi_taj,netral
pemalang andikaa,andika_hendi,netral
alhamdulillah rk cerdas dan pintar semoga dki jakarta lebih maju lagi,unknown,positif
nomer 2 kepekane komplit,luthfi_taj,negatif
tetep pak andika perkasa,andika_hendi,negatif
jateng yang religius lanjtkan gus,luthfi_taj,positif
andika,andika_hendi,netral
jateng perkasa bersama andikahendi,andika_hendi,positif
"rakyat jangan mau di pecah semua pembenci pdip akan mematikan akal mu untuk membenci pdip padahal mereka lebih buruk bobrok jaman sekarang jangan lihat partai nya tetapi orang nya 
dari sini kita lihat bahwa jendral andika dan hendi lebih jelas dan pengalaman 

jangan pilih polisi cukup jawa tengah jadi sarang nya sambo dulu 

sekarang saatnya tni tni tni","andika_hendi, luthfi_taj",negatif
pak andhikalanjutkan,andika_hendi,netral
pak andhikalanjutkan,andika_hendi,netral
semarang all in tni andika hendi,andika_hendi,positif
pilih tni jangan polisi,"andika_hendi, luthfi_taj",negatif
gosah bawa bawa nabi,unknown,positif
inget disabilitaswaktu pak andika jabat kasaddan ada pula yg kuli bangunan di arahkan agar mau daftar jadi anggota tni,andika_hendi,negatif
jawaban ahmad lutfi tidak realistis jawaban yang menghayal,luthfi_taj,negatif
dari smua komen di komen kpu jateng hampir 2rb komentar 90 mendukung paslon andika hendi dan mungkin hnya 8 yg mendukung lutfi yasin,"andika_hendi, luthfi_taj",negatif
kita butuh tni bukan pak polisi bersama rakyat kita kuat bukan mengayomi namun zolimi,"andika_hendi, luthfi_taj",negatif
awas loh 02 akan mengeluarkan sang raja mulyono utk membantu kampanyenyaapakah pendukung 01 sudah siap dan tidak goyah utk tetap pilih andika hendi 01,"andika_hendi, luthfi_taj",negatif
klo penjelasan sudah diakhiri gosah ditawarkan lagi barang dibuang kok ditawarkan lagi,unknown,negatif
warga jateng pilih santri seng berpeci,unknown,negatif
gus wagub harusnya jadi cagub,luthfi_taj,negatif
konsep ngopeni lan nglakoni terlalu lemot ora sat set karo perkembangan modern,unknown,negatif
pak andika  hendi lebih amanah,andika_hendi,netral
pak andika pak hendi,andika_hendi,negatif
pekalongan nomor satu,andika_hendi,positif
"sukses untuk pilkada jateng  tanpa politik uang
pemerintah yang terpilih tanpa politik uang
semoga membawa jawa tengah makin maju",unknown,positif
baru mulai  no 2 debat dah bawa bawa nama jokowi,luthfi_taj,negatif
"tidak ada tni maupun polisi yang berpolitik hak pilih mereka gugur dalam pemilu
setelah pensiun mereka menjadi rakyat biasa bukan lagi dalam kesatuan tni maupun polisi
jadi mohon bisa dimengerti ya wahai rakyat jawa tengah jangan sampai kita diadu domba dengan provokator tni vs polisi karena dibalik calon gubernur maupun wakil ada partai politik","andika_hendi, luthfi_taj",negatif
izin tanya kenapa perpanjang sim tambah mahal,unknown,negatif
jangan pilih yang suka bilang yntkts,unknown,netral
luthfi nyontek teruss wakakakakak,luthfi_taj,netral
jangan pilih oknum polisiduit duit duit mulu,luthfi_taj,negatif
emangnya di jateng itu sekolah cuma madrasah yarasah nyebut nama presiden guna mendompleng suara tunjukan aja apa yg jadi visi misi sampean di jateng ben rakyat jateng yg memilih,unknown,negatif
polisi tapi santri lurr lewih2 wakilie ulama besar alumni mekkah pokokoke jos gandoss mantapp,luthfi_taj,negatif
1kk 1rumah layak huni prett,andika_hendi,netral
sangar banget pak wajahnya takut,unknown,negatif
jelas pilih nomor 01 dong pak andika rakyat untuk rakyat,andika_hendi,positif
"104 penyampaian visi dan misi paslon 01
11505 penyampaian visi dan misi paslon 02
13009 paslon 02  jika terpilih apa yg akan dilakukan untuk membangun kemitraan dgn penerintah pusat dan kabupaten kota dan sektor private untuk mewujudkan tujuan sdgs 2030
13214 jawaban dari paslon 02
1 satu kk satu rumah layak huni 2 ubah air asin jadi air tawar 3 pemenuhan sanitasi dasar 4 makan bergizi gratis 5 openi dan nglakoni
13343 tanggapan dari paslon 01  sesuai dgn pertanyaan jgn lupakan partnership bahkan dgn perangkat desa sekalipun dan jg sektor private dan tokohtokoh
13543 respon dr paslon 02  kita akan melakukan kolaborasi yg terintegrasi dgn pusat dll
13743 pertanyaan untuk paslon 01 
banyak masalah publik yg belum optimal jika terpilih langkah apa untuk mengatasi permasalahan tersebut
13906 jawaban dari paslon 01
1 meningkatkan intergritas kpk dan birokrasi
2 perbaikan efisiensi pelayanan publik secepat mungkin
3 reward untuk pelayan publik yg jujur dan sebaliknya
14214 tanggapan dari paslon 02 
ciptakan rumah gubernur sbg rumah rakyat mall pelayanan publik di bakorwil akses aplikasi
14425 respon paslon 01
nemastikan praktik pelaksanaan di tiap level dengan sistem reward dan punishment pada pelayan publik","andika_hendi, luthfi_taj",negatif
"ah polisi
maaf sudah sangat tercemar",luthfi_taj,negatif
"cerdas semuanya 
tergantung dari masyarakat jateng aja ni",unknown,netral
mung butuh pemimpin seng iso ndagel nanging iso kerjo jateng seneng hiburan karo kerjo,unknown,negatif
debat jebak desa tertinggal di jawatengah bagian timurdesa nya perlu perhatian kusus cuman mau nanya sama pak lutfikenap anda tanya sama pak andika seharusnya anda tanya sama samping sampean 4thun jadil wakil kemana aja wkwkwwkwkwk mau menjebak tapi malah wakilnya kena tampol wkwkwkwwk,"andika_hendi, luthfi_taj",negatif
kadang kurang paham sama netizen yang hanya melihat dari cara menjawab seseorang overall in my opinion kesiapan paslon 2 lebih unggul dibandingkan paslon 1 hal tersebut bisa dikatakan paslon 2 lebih matang daripada paslon 1 dari setiap pertanyaan yang dijawab oleh para paslon paslon 2 mampu membuktikan punya dasar jawaban yang lebih bagus dibandingkan paslon 1 di lain sisi paslon 1 mampu memberikan jawaban yang cukup normatif mungkin dari segi kesiapan paslon 1 bisa menjadi evaluasi kedepannya,"andika_hendi, luthfi_taj",netral
secara nggak langsung gus yasin membenarkan klo pak ganjar kerja nyata di jatengtapi kok pas nyalon presiden tdk didukung,luthfi_taj,positif
manut guse mantaaplanjutkan pak gus yg alim,luthfi_taj,netral
