comment,comment_target,sentiment
its crystal clear now the dream of pres putin in invading ukraine and occupying donbass region crimeato have a linkland bridge to moldova via transnistriastaged unrest is now happening all his alibilike oppression of russianspeaking nationals denazi fication of ukraine countries joining nato are all pretext superficial his imperialistic ambition of restoring ussr monopolizing the azov sea is his primary goal and he wants no hindrance along the way he curtailed press freedom limit social mediato contain information outlaw free speech criminalize real stories about the war oligarchs mysteriously disappeared jailing or eliminating of officials etc this is a blatant display of power we never imagine this would happen in modern times have we thought how desperate putin is now hes barely trying to survive really old habit is hard to die,"russia, ukraine",positif
cant believe the russians havent neutralised all spy satellites as a mater of course,russia,netral
can the russians please jam anything coming from the kardasians please,russia,negatif
how stupid is this you are at war with russia,russia,negatif
czar putindefecting to chinagones insane,russia,negatif
please tell russia we see what is really going on,russia,positif
russian should gam all usa weapons send to ukrane,russia,negatif
just keep pumping usa tax money in russia takes it all all the wepons sent tratour china joe destroyed the usa,russia,negatif
i know russia shot one of its satellite so you news readers are you saying russia shot another of there satellite down,russia,negatif
i no russia shot down one of its satellite so you are saying russia shot another of its satellite,russia,negatif
they said russia is using 6070s technology and is failing on all fronts,russia,negatif
oh that is so sad given that america has used ukrainian hackers for years to operate bots on all the social media platforms registered in the us to sway public opinion around election times it seems a bit sad that russia has some method of blocking gpss handed to the hapless ukrainian flunkies of the fourth reich whom i am certain are starting to ask what it like in the hague at this time of year blinken should be to,"russia, ukraine",negatif
they might want to think about jamming tollhouse 2united states will push russia into ww3 we will all feel the pain then,russia,negatif
toward russian bidden met attitude in belarus in the relationship of the authorities in his way to lithuania prime minister in many european countries merkel angela german chancellor also you do impose possible difficulty to talk to others also respect a delicate area in the current legislation as regards as the commission all russia again of government access the last summit head of state of government i think since to others i was surprise the decision opinion something differently,russia,negatif
why not to use russian glonass too,russia,negatif
yup lets blame the russians on your incompetance,russia,negatif
boom boom russia boom boom baby bye bye ukraine bye bye biden,"russia, ukraine",positif
god bless ukraine please stay safe xx,ukraine,positif
the russian havent even got signals for their troops in ukraine ffs,"russia, ukraine",negatif
why russia try to defende themself from nato,russia,negatif
what to they expect the russians to allow their positions to be given away i can imagine its a normal tactic in war,russia,negatif
well done russia keep cooperate with china,russia,positif
people might want to look into hunter bidens laptop im sure it has a lot to do with this war in ukraine,ukraine,negatif
russia has its own gps nonstory,russia,negatif
i thought the western media was saying putin was running in defeat were you all completely wrong again,russia,negatif
nuke them glass the kremlin,russia,negatif
so you are saying usa wants russia not to jam gps so that they can bomb gps guided weapon,russia,negatif
foolish puppet zelensky asking weapons from master nato and usa but blaming russia for not interested in peace he has learned hypocrisy quite well from western europe,"russia, ukraine",positif
usa nato ukraine,ukraine,netral
the us fights russia to the last ukrainian,"russia, ukraine",netral
what a surprise russia is all in and will now use overwhelming brutal force losses or world opinion make zero impression on the russians or chinese without nato troops never going to happen the ukrainians will eventually be overrun never had to happen nigel farage warned nato in 2014 what the russians would do if ukraine did not stay neutral but the ignored him,"russia, ukraine",negatif
russia jamming us gps signals to hamstring opposing military wowwho could have imagined that sigh,russia,negatif
i wished russia would had help gadaffi and other countries that were invaded by the us and nato just as the westen powers are doing today i wonder what would have happened 1 bn jet lost in libya hmmmm,russia,negatif
russia is not iraq,russia,netral
of course they would jam the civilian code give the ukrainians access to the y code encryption if we truly consider them allies wont help where the ukrainians are using civilian gps systems but it will give their military some capability especially if they are using western smart weapons and we have not provided glonass spooferjammers to the ukrainians that would be odd,ukraine,negatif
what else usa wants russia to do it has to jam gps,russia,negatif
all glory to russia,russia,positif
this is nothing new the usa has done the same its just not comfy to see russia and china do the same and knowing russia can knick out orbital satellites,russia,negatif
about the time to start using laser point system to take russian interference sat i know everyone is careful not to reveal to much in this war but time has come to show off little capability,russia,negatif
this doesnt look good putin has been given free bass to slaughter ukrainian children women and elderly its un acceptable that most powerful nations in the world watching this horrific genocide and not taking seriously,"russia, ukraine",negatif
for 15 years russia has been telling us that expanding nato eastward was going to have grave consequences our jerks in washington thought putin was bluffing well cry if you want about your gps getting jammed,russia,negatif
time to jam russian gps systems,russia,negatif
laughable russia and china both are in the same boat they both have military hardware purchased from walmart putins time is short because the real shotcallers will not tolerate the loss of money over his delusions of grandeur the people will rebel against the government in favor of democracy,russia,negatif
good russia,russia,positif
what is happening to the russian soldiers who have lost their lives for putin the man who doesnt care what happens to them if the ukrainians really have many dead russian soldiers then it would be a big coupe for them if they could return them to their families in russia on the 8th or 9th of may which is victory day in russia who knows it might be a victory day for the ukrainians too and bring an end to this senseless war and give proof to the russian people who deserve to know what has happened to their sons and daughters in putins war on ukraine,"russia, ukraine",positif
pres putinsor modernday emperor paranoia or imagined threat is getting wider finlandand sweden are considering joining nato also they are pushed by the recent military aggression of ukraine if putin can do this to his brothers sistersas what he thinks in ukraine the more he can do it elsewhere so finland is getting swarmed by russian troops in her border lately if we are going to follow the pattern its worrisome to be a neighbor of russia you are immediately perceived as an enemy once you show intention of joining nato so finland norway estonia latvia georgia azerbaijan etc are all in danger of being invaded once they copy what ukrainians did this is serious pres putin is entertaining an empty threat in his mind,"russia, ukraine",negatif
so where is space force take out russias satellites,russia,negatif
russia is the big boss,russia,positif
take out the russian glosnas satellites us gps needs to be changed and updated china and russia using the us gps is absolute stupidity on the side of the us,russia,negatif
us are wrong to have gps in ukrainian,ukraine,negatif
who jammed the moskvas communications a small drone or a growler or awacs nearby someone blinded the moskva and let ukraine have a guided potshot at the russian ship who did this thats a six milkion dollar question if someone can find the answer you will findout who really killed 400 russian sailors,"russia, ukraine",negatif
russia has glonass they do not need gps that would place them 20 meters beside the road the are supposed to be on,russia,negatif
accuse of jamming what do you expect the russian to do sit and watch how the world fight against the eastern orthodox church what sort of bogus information war you are playing against the russia atleast they have not slaughtered a million ukranian,russia,negatif
most civilians in the westus also use russian satellites too glonass there are four major satellite systemsnetworks its a standard tactic to jam or attempt to monitor communications in a war zone,russia,negatif
russia is talking to usa in the language that it understands,russia,positif
putin you are the man,russia,positif
just switch over to the russian gps signals those are not jammed,russia,positif
it seems that ukraine war game just has got a twist,ukraine,negatif
unfortunately putin has been planning this scenario for 22 years and knew it would be bloody and costly and would lose lot of men just like both world wars before this unfortunately we are not dealing with a unexperienced man hes a kgb assassin with the most sophisticated powerful nuclear arsenal on the planet and with the most powerful air defense system in the world that nato fears the most specially if they have to fight russia in a national survival war like the nazis because the grim reality of past has repeated itself again in the 21st century and once again we were expecting different results unfortunately no one has learned anything from it now in 2022 and now because everyday this war goes on in ukraine the doomsday clock ticks closer the start ww3 at anytime or worse go right to a nuclear war if japan or any other country backs ukraine with soldiers like japan is about to do and there military over ukraine to help stop putin from annexing any more old soviet territory in his next step to push nato out of his soviet warsaw pact territory which has been more vunerble and distracted and more vunerable than anytime since ww2 thats already suffered and lost a lot because there in the middle of the worst pandemic in modern history and now possibly the next world war is right at there doorstep so be very concerned people this is no joke especially now with china with eyes of a hawk watching everything unfold very carefully and could launch a attack on tiwann and use the south china sea to do its just waiting for the usa to make the wrong mistake and be caught off guard with the war with russia and its allies estein said the next war would be with sticks and stones because nothing would be left but a dying radioactive planet uninhabitable for centuries and if someone did survive and managed to get enough people together for another one it would be the cave man way and nothing else just like the movie threads only this time its ukraine that starts it not iran now in todays war with russia,"russia, ukraine",positif
russia is use to taking high casualties and prepared for it they lost 27 million in ww2 and it took millions to just to break the back of nazi germany putin doesnt care about that he knows hes already one because nato is afraid of nuclear war if they interfere so all he has to do now is get ukraine to surrender and if that means leveling cities to the ground then so be putin told the civilians to evacuate many times before the military aggression and said this will be bloody and brutal so if you dont want to die leave now and lay down your arms but they chose to stay and think this was a joke and putin wouldnt evade even when he had almost 200000 men at ukraines doorstep and we told there president he would invade right after the olympics but everyone in ukraine thought it was a joke and russia would go home as soon as they were hit with sanctions and chose to stay and even worse fight and have there families fight when they didnt need to when they have a powerful ground ukraine army that knows how to fight there own kind and doesnt need civilians getting in the way making it harder for them to do there job and much much more dangerous now for everyone because they stayed and chose poorly unfortunately,"russia, ukraine",negatif
god bless putin a real peace keeper our city in donbass has been shelled by ukrainian nazis for 8 years the ukrainians murdered thousands of people since 2014 unfortunately not a single word in the media the government is completely fascist god bless russia and every russian soldier you you guys live on the other side of the world and have never seen these were crimes committed by ukraine so i suggest you guy go back to being tik tokers instead of political war experts thank you putin its not putin our country would be worse than iraq nato is a ruthless war machine thank you russia for stoping these cowards,"russia, ukraine",positif
after 2014 government change in ukraine by usa they sold ukraine to rothschild and comp and started homosexual parades and now they brought ukraine to the state of sodom and gomorrah putin trump an angel of godputin strong trump strong sarah palin strong lol sarah palin is about to put trump back into white house loltrump wonlol,"russia, ukraine",positif
if germany fell into the trap of the united states and britain and starts activities against the national interest of russia it will be a blunder then after effects will started soon and german economy will be paralyzed,russia,negatif
well the fact is america is selling their weapons to ukraine and america will never want this war to end its like putting fuel on the fire america,ukraine,negatif
putin and russia are lost and will end in death,russia,negatif
mariupol,ukraine,positif
good russia,russia,positif
great move do whatever necessary to jam those aggressors from the us n nato now nato stand for no action talk only what russia should do is to shut them up n then it becomes no action no talk nano alliance,russia,negatif
great job russia,russia,positif
america military assistance to ukraine surpasses 3billion dollars add nato and the rest of the west assistance and russia is still standing a chance in this war wow,"russia, ukraine",negatif
russia,russia,positif
usa and russia will turn ukraine into a warzone sad to see it,"russia, ukraine",negatif
if russia doesnt watch there step they will bring nato to join the war,russia,negatif
call putins bluffput feet on the air land and seaand stop him,russia,negatif
aaaaaahhhhhhhaaaaaa tell putin i love him,russia,positif
2019 ukraine and zelensky are corrupt 2022 ukraine is a democracy zelensky is a heromedia thinks people r brain dead,ukraine,negatif
why is trump sending money and aid to russia,russia,negatif
russia is mismatch every nato supplying arms to ukraine and russia just doing itself alone,"russia, ukraine",negatif
slava ukraine gps we dont need itwe know where the russians are including putin all his family members and lovers 247 sq303 tiarmy free peoples satellite 2500890 strong world widenato otan we need cover over the black seawe going inafter all russians ships,"russia, ukraine",positif
why is russia soldiers using rockets like thats unacceptable they are killing all the ukrainians that is not what they are supposed to do prayforukraine,"russia, ukraine",negatif
its time for us to get involved with our air force in ukraine everything that russia is doing to the civilian population in ukraine goes against everything we in the west stand for in our principles how can we sit here and do nothing while ukraine is literally destroyed soon mariupol will have not 1 building standing the city will be wiped off the map how can we call ourselves civilized and allow such evil to prevail our ww2 veteran grandfathers were not afraid they were not cowards they would be ashamed of us today,"russia, ukraine",negatif
thats scary to know that russia can hijack the gps system,russia,negatif
the only aggressor here is putin nobody attacked russia or threatened russia yet russia is slaughtering thousands of innocent people and threatening nuclear war this man is out of control the russian people need to take him out for thier own safety,russia,negatif
was about time russia steps up,russia,netral
keep testing russia and youll get what youre asking for,russia,positif
wish putin world push the button,russia,negatif
russia is having problems with ukraine imagine lol take some mydol and go to bed putin,"russia, ukraine",negatif
russia should declare a war in the spaceget rid of all those gps and satelites,russia,negatif
i would shoot down all satellites anything that flys over russia is fair game,russia,negatif
usa and nato must send troops in russia to stop psyco and assasin putin and his war criminals,russia,negatif
good for russia,russia,positif
go russiablock them,russia,negatif
lol yesyesyesyes yesyesyesyes russia take out the obamas personal nazi trash lollol,russia,negatif
russian has an army of 1 million men and two million reserves ukraine has 28000 men in army and lost 3k men this war will end with bloodshed and you watched it happen us send in troops,"russia, ukraine",negatif
russian are powerful,russia,positif
why putin wants ukraine perhaps it is better to ask why putin does not want ukraine to become a nato ally the only real government in the world today is nato which has 50 wars on its conscience that ended badly nato is an offshoot of the usa which under the pretext of democratizing other countries wages war all over the world against those who do not think like them,"russia, ukraine",negatif
russia is so weak it let us to interface its war for providing arms and gpd satellite systems,russia,negatif
puppet zelensky eat your kosher bagels boy,ukraine,negatif
hunter biden and the ukrainian oil companies and oligarchs stay tunned,ukraine,positif
general mark milley said the war between ukraine and russia will last years but not certain it will last a decade with that being possible how can the biden administration allow this to be so drawn out either give ukraine all the conventional weapons and support they need immediately or give ukraine nothing so the war comes to an end asap which will result in less deaths from a long draw out war when the us was in wwii there was no military doctrine to allow such incompetence the biden administration and his military advisors are incompetent if they foresee this war lasting years and not doing anything about it,"russia, ukraine",positif
russia and china might be using american sattelite but the question is what information they will get american are not stupid to give the real information only american military has access to the real pictures of the sattelite,russia,negatif
just use russias or chinas gps,russia,negatif
a russia tem ataca os satelite estados unidos qur estive dando informacoes para ucrania sim,russia,negatif
america should expel russia from the un security council and strip it of its veto power this would be a fatal blow to russia because there are many countries that fear a russian veto as for russian oil and gas it must be replaced by american and qatari gas and oil via ships and the nigerian through the nigerian pipeline passing through to sinigal to moritania to morocco to europe this line must be accelerated he likes to supply ukraine with a thousand us and turkish drones and russia should be denied a russian veto,"russia, ukraine",negatif
this has to stop the tyrant putin must go,russia,negatif
the fact west is supporting ukraine in the war is pushing this world to a nuclear holocaust the west wants to install military base in ukraine against russia the anti rusdian hype is obviously strong despite the soviets gave up their communist and embraced democracyyet there is no stopping of the anti russian tune by the west led by tricky politicians of the west for publicity and political gains,"russia, ukraine",positif
hopefully someone on our side has foreseen this problem and has figured a way around it or developed backup plans even if it means going old schoolalso are we doing the same to russian gps systems,russia,positif
of course russia is going to block gpswouldnt we the war mongers at the pentagon and nbc war cheerleaders need to reminded that escalating this will lead to a global nuke war idiots,russia,negatif
nudge their satellites out of orbit would putin continue to bomb if he knew his family members were in ukraine,"russia, ukraine",negatif
russia is interfering america at the russian ukraine boarder by the way a country that is situated thousands of miles away from the boarder is not interfering right,"russia, ukraine",negatif
one thing leads to another and all things lead back to nuclear attack by russia its inevitable,russia,negatif
unaudited military cash aids will enrich you but you will be totally responsible for this continual destruction and killing of precious lives zelensky accept that you made a mistake you should have had surrendered as early as day one which could have had avoided all these deaths and destruction indeed it is better late than never you are threatening the whole world of total destruction because of your pride and self interests surely you could never expect nato to assist you further because if it does such will trigger a thermonuclear war that will totally destroy all civilizations on earth,ukraine,negatif
lets jam russian satellites,russia,negatif
the british nightingale sings in a russian cagethe presence of nato military in ukraine american soldiers are dying for us interests in ukraine,"russia, ukraine",negatif
whats with democracy now being shut down notice states it is offensive i watch amy goodwin every morning but today shes been shut down russia or repubs,russia,negatif
the children singtribute to ukraine in darkness theres a painin silent nighta glow of shame seeps through a candlelitea troubling sense oh of days to comeand where would we be nowif the world lived in harmonythe children smile and sing if the world lived in harmonywhere would we be nowbut theres a man of thirsthe seek no drink divides the world of skinand how they thinka rising hate oh and blood will flowand where would we be now if the world lived in harmonythe children smile and singif the world lived in harmony where would we be nowpeople stand idle byno thoughts to sharea burning rage growing largeeverywherethe time is near oh to make a peace and where would we be now if the world lived in harmony the children smile and singif the world lived in harmony where would we be nowthe choice is ours to makethy will be doneto close our eyes and ignorethe righteous flight of everyonesoaring so high in our lives we lovewe all need to stand and live our lives in peace harmonythe children smile and singlive in peace and harmony together handinhandpeace and harmonywe all need to standfor peace harmonypeace harmony humble driver youtube,ukraine,positif
russia is sending a message to the world we will f with you anytime we choose and place we choose and anyway we choose how is the world going to respond,russia,positif
ukraine is allowing nato to test their weapons at the cost of ukraine life russia needs to use nukes to finish it for all nato fears,"russia, ukraine",negatif
russia is well ahead of this lot,russia,positif
usa and russia and similar country both become more strong brother country in geopolitics mental,russia,positif
see russia can hit your satellites but they are choosing the other way to avoid war,russia,negatif
seems like theres a good way to stop this drop missiles on russian population centers not nukes but high enough ordinance where some civvies might be roasted alive in the process call it a special gps support operation,russia,positif
and why do usa have a gps signal in ukraine,ukraine,negatif
usa can stop the war between russia and ukraine without sending weapons and missiles to ukraine,"russia, ukraine",negatif
nazi ukrainians welcomednative american blacks notdestroy all nazi copsblacklivesmatter nazi ukrainians welcomednative american blacks notdestroy all nazi copsblacklivesmatter,ukraine,positif
your tactics arent working against russia right,russia,negatif
in the past 12 months prior to this war i can confirm that while flying over russian airspace they do indeed jam gps signals adsb of international commercial airlines the chinese are also known to do this,russia,negatif
lets russia destroy everything,russia,negatif
there are the us gps system with different codings and inserted pseudo ramdom errors in the civ codenormaly the us doesnt present the code with lower accuracythis is only deploid in war situations and during training or military manoevers f ex as the ongoing since three year long drill together with finland sweden and some othersif there have been a disturbance or jamming of the carrier frequence of the gps or impossed protocoll changes locally and thats if its as likely that this have been done by these manoevers and drills by that ongoing semi nato exersice as by russianshow can i claim thisrussians could do this as early as in the beginning of the 1990sso why meadling with it nowon the other side there are a significant part that are poorly trained and not that well equiped with the transmitting equipment and it is out of that fact moore likely that some unexpirienced recruit have gone in and sent something in the carrier wave domain for the gps satellites and by that blocked out the posibility for the aeroplanes equip to hear the signals from the satellitesbut i am not convinced that anything realy have accured regarding civilian airtrafic,russia,negatif
us is doing the jamming no way they cant do way better than what Russian can dostarlink was being jammed several hrs of a day till musk added software to by pass it an software to enable use from a cars cigarette lighter,russia,negatif
we need mr putin to give us his side of the war he is nursing the babys room way to go lords of honors,russia,negatif
200 to seized super yachts of the russian oligarchs,russia,netral
what do you think russia does it jams it lies it massacres we knew ukraine was being invaded corrupt west cant get its act together bc its too corrupt putin knows that which retains power in light of corruption or psychosis remains,"russia, ukraine",negatif
back in the day you could hear russia jamming voice of america broadcasts on shortwave radio but we allowed radio moscow to be heard,russia,positif
once again never trust russia china nk iran,russia,negatif
dictatorship is not leadership its a crime against peaceful establishment world leaders must force russian government to talk on diplomatic table,russia,positif
putin said fafo,russia,positif
russians have more mathematicians,russia,positif
well russia better not mess with the us satellites or they will be getting a strongly worded email from the pentagon you dont want that,russia,positif
time for the usa to shoot down russias gps satellite,russia,negatif
good job russia,russia,positif
i remember in 2003 when russia gave the iraqis antigps systems to jam us smart weapons they got bombed by gps guided smart bombs,russia,negatif
the world stands with russia,russia,positif
wtf was that the russian satellite weapon was firing doesnt look good,russia,negatif
cant we jam the russians,russia,negatif
lucky trump made a space force putins headed for the moon better get on it quick,russia,negatif
the compound effectkamikaze effectiveness needs to be used now to target the kremlinonly one thing will quickly change the makeup of this war and that is the removal of putin what ever it takes this must be done now there must be the constant thought on putins mind that at any moment he will be assassinated from with in or from outside his spherespherethank you to all our brave ukrainian warriors kamikaze effectiveness must start nowtoday,"russia, ukraine",positif
the compound effectkamikaze effectiveness needs to be used now to target the kremlinonly one thing will quickly change the makeup of this war and that is the removal of putin what ever it takes this must be done now there must be the constant thought on putins mind that at any moment he will be assassinated from with in or from outside his spherespherethank you to all our brave ukrainian warriors kamikaze effectiveness must start nowtoday,"russia, ukraine",positif
think that is because of russian rocket theyve send up while ago,russia,negatif
go go go russia,russia,positif
russia cannot jam the small hundreds of satellites orbiting the earth and providing communications to the ukrainians they also direct the unmanned drones and targeting quite amazing sm,"russia, ukraine",positif
eliminate dictator putin this man must disappear from the face of the earth,russia,negatif
no wonder a us general involved in the training the ukr forces has been reported to have been caught by the russians while trying to fly out of mariopol in ukraine,"russia, ukraine",netral
trumps gops buddy putinwhat a genius,russia,positif
then lets give the ukrainians some emp bombs to use on their equipment at the border,ukraine,negatif
judging from the amount of destroyed russian tanks by dronesapparently putins army is doing a lousy jamming,russia,negatif
glory to russia,russia,positif
now the rabid killer group president putinisolated and ousted from world societypresident xi jinpingare you a leader in the worldof the permanent members of the unnill do my duty with sinceritydo you have itno its notnoi havent shown it so farpeople all over the world are always talking about the media every dayim listening and watchingthere was not a single article on the message of the end of the war that the xi jinping administration showedand putins rabid killer groupi only hear and see messages that i support every dayobviously people around the world think that china is a great powerxi jinping is the leader of the groupeven elementary school students already know thatwhen your grandchildren see the warhow do you feelhow do you respond to the childrennow the people of the world chinaits not a superpower its a peaceloving countryits not a statethats what i thinkalsonorth koreas icbm favorite state its not a real powerpresident xi jinpingat the un as the worlds leadershow me a clear message of cessation of warthe slaughter of civilians makes sense to chinain a clear and determined toneplease speakif you cant do that step backthe most important reasons for exit are threethe un leader is no longerif you dont show it people all over the worldthats what i thinkthe most important causes are threefirst favoring north koreas launch of icbmssecondly its not even worth the cause more than 10000 people turned a blind eye to the genocideanddaily advocacyside remarksthird we need to share with countries around the world because of my greed to monopolize energythis has been a real powerhousei complimented myself its a lieif you do that its not a real power anymorethe resignation of a permanent untake it seriouslyor as a true leader that president xi jinping has shown all over the worldanswer meslaughter im not friends with anyone who enjoys killing chemical weaponsare you keeping your place in the worlds leadership groupask and answer yourselfeveryone whos reading this nato the us the eu cannot stop eitherwhos the only one personpressuring him to stop the wara psychological burdenand the peace that he insisted on do you have one ask themone person will tell 10 peopleyou ask him questions and were going tountil we have a clear answerlets ask him a questionask questions once a weekjust give me five minutesits not about murder slaughter or other countrieseven that pain our daily livesits deep insidewell save and save morechildrensthe responsibility to lead a bright futureduty and the most important personyou have to show your love and careplease start nowpresident putin said war of fire and fire weaponswere getting readythen our sky will be filled with poison gasat a certain moment in the windyou get sick from a respiratory infectionukraine russiathe wind direction of chinese poison gas is unpredictablenato and the european unionits closenow talkplease pass it to the person next to youi hope our children cherish and take care of themthe pure sky that we need to sharechildren breathe clean air without pollutionill try to live my life feeling itplease start ill start with 10 people,"russia, ukraine",positif
us are big cry babies they do all the wrong stuff and cry when others use jammer go russia,russia,negatif
ukraine needs help destroying the jammers,ukraine,negatif
bruh only china and russia have their own gps ever heard of navic of isro mann us journalism has gone in mess,russia,negatif
if the ukrainian fighter dont have gps or have interrupted gps how can they accuse russia of indiscriminate bombings shouldnt it be the other way around,"russia, ukraine",negatif
korean chinese russian they are not stupid ok,russia,positif
wow so all the sudden russia is doing so goodwow amazingi do believe so many are seeing the truth instead of lies,russia,positif
hemwhat was then expected that the russians would not,russia,negatif
china and the chinese people around the world support russia and putin in its fight against nato and usa,russia,positif
russia needs to go down china and russia conspire for world domination trump is their man,russia,negatif
the us should fight in ukraine now before its too late,ukraine,negatif
i absolutely hate what russia has donebut no one can surprised by this this is one aspect of warthe ability to take away and deny the use of an asset or multiple assets the way some of these military officers are reacting with the attitude of how dare you do that to our systems makes me nervousthey should of thought about this potentiality now the big question is how do they fix thingsif they can hopefully the us military can get control of the gps system back again,russia,positif
us military gps devices have been jammed by russian forces in ukraine 2022 its indicating that some us electromagnetic cyber warfare equipments were classified obsolete or out of date,"russia, ukraine",negatif
why didnt russia do this in the very beginning of the war that makes no sense at all,russia,negatif
american led nato and their insane expansion toward russian borders with troops military bases and offensive military hardware is entirely to blame for this crisis russians were cornered and responded on the only language that selfish and dishonest west understandsukraine is nothing but an instrument fooled by america to believe they would join nato and get military supportnow washington is coercing the comedian not to surrender while the people who voted him to power die on the streetsunilateral and illegal sanctions will not deter russia until their security objectives are meti am squarely with the russians on this one,"russia, ukraine",positif
russia is great,russia,positif
9 more than a thousand ukrainian soldiers surrendered in mariupol thats all zelensky could give them this is the collapse of the nazi system of ukraine,ukraine,negatif
russia can view this as a act of war,russia,negatif
does this mean that the usa cannot use its gps in a war with russia the usa military is massively dependent on gps,russia,negatif
what transpires out that russia haves the capability to destroy even satellites in their own propaganda they are shooting their own foot,russia,negatif
russians,russia,positif
ukraine is losing my bad has lost this war,ukraine,negatif
so russias is not just a gas station how we did not know of what they really are cappable,russia,negatif
ukrainians need missiles that hone in on that jamming signal,ukraine,netral
this war will last next 20th century united states will have fight russia eventually weather we like it or not its coming but putin will need 10 other countries or more to secretly on joining his russian side to invade and ukraine and destroy united states and nato,"russia, ukraine",negatif
this will affect the use of drones also limiting the resistance of finding russian tanks and convoys,russia,negatif
putin is a liar likejoe biden putin and biden are harming humans they are there just to cause trouble chaos and suffering for humans by doing wicked things or doing nothing to stop it even if they have the power to stop it or to mitigate it they dont do it so they are working together you can see that,russia,negatif
why wouldnt russia try to jam satellites and gps,russia,negatif
russia using her own glonass not gps,russia,negatif
putin is saving the world from the nazi evil forces,russia,positif
the us should provide ukraine its own gps satellite systems with taxpayer money for the sake of democracy,ukraine,negatif
international community us canada uk eu australia nz japan korea these are primarily imperialist countries with white populations they are not the only democracies indiamexicosouth africabrazilindonesiamalaysiathailandpakistannigeriaegypt and more all are democracies this isnt about democracies this is a racial war and the west cannot come to terms with another race chinese indians asians africans etc become powerful since the white westerners believe in their white privilege most countries gained independence not because racism had ended but only because after the wwii the west could not afford to maintain their colonies the ideology remains the same in the guise of nato one only needs to look at the past of nato with all these men such as hans speidel adolf heusinger friedrich guggenberger hennig strumpell franz josef strauss nato is no longer a defensive alliance but an offensive millitary alliance and its scope is not just limited to nato member countries but has interfered in countries such as serbia kosovo afghanistan libya bosnia and herzegovina to name a few instead of being disbanded after the collapse of ussr and being integrated into un peacekeeping it now has ulterior racist motives if the biolabs story is to be true then the west might already have created pathogens to wipe out an entire race blacks browns asians and a solution to ukraine will just buy some time before the west makes their next misadventure to create a christian white empire in the northern hemisphere and dominate the world and reinforce imperialism and then go after china nonwhites in eunato countries are minorities and the most downtrodden communities and they can easily be wiped out if a genocide could take place in the last century then it is more than possible in the near future,ukraine,positif
the russians are comingthe russians are comingthe russians are coming,russia,positif
what do america expect russia is monitoring nato activities and weapons in ukraine seems like russia is ahead in the game,"russia, ukraine",positif
we dont mount a response even to the smallest aggression from putineven as small as signal jamming putin will dial up his aggression,russia,negatif
russia is like the us in the alternate universe,russia,positif
this makes wonder about friendly fire if the so called russian attacks were actually ukrainian weapons that were jammed which resulted in a friendly fire,"russia, ukraine",negatif
the whole world is asinine as eff 45 days almost into the way and we do nothing the us is the worst as we havent even embarked one naval detachment to the blakc see to blockade crimea the united states under biden is a joke and a coward ukrainian people deserve a better ally thannus or nato selfish politicians who cower under tables crying,ukraine,negatif
the whole world is asinine as eff 45 days almost into the way and we do nothing the us is the worst as we havent even embarked one naval detachment to the blakc see to blockade crimea the united states under biden is a joke and a coward ukrainian people deserve a better ally thannus or nato selfish politicians who cower under tables crying,ukraine,negatif
putin is like your old relative who still prints out mapquest direction and then made a couple of wrong turns and is now lost,russia,negatif
