comment,comment_target
jamming gps as part of war strategy much more elegant than bombing wedding party and hospitals in afghanistan by us army,unknown
who would have thought,unknown
z,unknown
its 300k ukranian hackers trying to create ww3 dont be so dumb tired of watchn unintelligent american intelligence they play u like a puppet,unknown
usa hope they could do and use it in any other war they create like usual,unknown
why russia try to defende themself from nato,russia
it was obvious that the us controlled the drones now they are loosing controlthe question who is fighting against whom may have a wwiii on our hand,unknown
what to they expect the russians to allow their positions to be given away i can imagine its a normal tactic in war,russia
so there is nothing secure line after multibillions of dollars spent on technologies,unknown
well done russia keep cooperate with china,russia
so u look shock then on the same time rusian misile gps connection is so good with high accuracy,unknown
people might want to look into hunter bidens laptop im sure it has a lot to do with this war in ukraine,ukraine
why should one expect anything else,unknown
russia has its own gps nonstory,russia
the besf way to jam gps for any army is to ionize the atmosphere,unknown
i thought the western media was saying putin was running in defeat were you all completely wrong again,russia
good,unknown
nuke them glass the kremlin,russia
lol,unknown
so you are saying usa wants russia not to jam gps so that they can bomb gps guided weapon,russia
thats part of winning a wartake out suppliescommunications n everything else falls into place,unknown
i bet they are,unknown
signal jamming has been around for years nothing new,unknown
they are probablydoing it to see what counter measure is taken so that they can plan to counteract the counter measures in the future,unknown
i wouldnt believe this news coming straight from the us us media are propaganda machines of the government,unknown
is this news for 9 year olds how is any of this even close to news worthy,unknown
foolish puppet zelensky asking weapons from master nato and usa but blaming russia for not interested in peace he has learned hypocrisy quite well from western europe,"russia, ukraine"
conference summary to establish a new security and development architecture for all nations,unknown
usa nato ukraine,ukraine
the us fights russia to the last ukrainian,"russia, ukraine"
remember when everyone made fun of trump for starting space force,unknown
remembered palestine iraq syiria yamen etc god knows uraa,unknown
usa and nato need to do something,unknown
why would you broadcast it to the enemy duh,unknown
what a surprise russia is all in and will now use overwhelming brutal force losses or world opinion make zero impression on the russians or chinese without nato troops never going to happen the ukrainians will eventually be overrun never had to happen nigel farage warned nato in 2014 what the russians would do if ukraine did not stay neutral but the ignored him,"russia, ukraine"
palestina aman duniapun aman,unknown
question why dont we jam them,unknown
of course they are they would be negligent if they didnt,unknown
i know what america is after its a shameful to see how us are full of propaganda and lies,unknown
russia jamming us gps signals to hamstring opposing military wowwho could have imagined that sigh,russia
i wished russia would had help gadaffi and other countries that were invaded by the us and nato just as the westen powers are doing today i wonder what would have happened 1 bn jet lost in libya hmmmm,russia
as they should wtf we doing there giving them weapons and targets we got a dog in this fight regardless of our governments lies,unknown
russia is not iraq,russia
of course they would jam the civilian code give the ukrainians access to the y code encryption if we truly consider them allies wont help where the ukrainians are using civilian gps systems but it will give their military some capability especially if they are using western smart weapons and we have not provided glonass spooferjammers to the ukrainians that would be odd,ukraine
is that the space force psaki made fun of,unknown
so we did this in iraq lmfao,unknown
hshshhshshhahhahahahhahahhahahahhaha,unknown
what else usa wants russia to do it has to jam gps,russia
the us are talking about rules on war,unknown
all glory to russia,russia
god bless space force,unknown
boot our enemies off our satellites to start with,unknown
we british can also play dirty,unknown
were jamming jamming,unknown
spot major electronic transmitters and jamm it,unknown
this is nothing new the usa has done the same its just not comfy to see russia and china do the same and knowing russia can knick out orbital satellites,russia
about the time to start using laser point system to take russian interference sat i know everyone is careful not to reveal to much in this war but time has come to show off little capability,russia
staff sgt taylor is a nice piece of a__,unknown
this doesnt look good putin has been given free bass to slaughter ukrainian children women and elderly its un acceptable that most powerful nations in the world watching this horrific genocide and not taking seriously,"russia, ukraine"
for 15 years russia has been telling us that expanding nato eastward was going to have grave consequences our jerks in washington thought putin was bluffing well cry if you want about your gps getting jammed,russia
time to jam russian gps systems,russia
laughable russia and china both are in the same boat they both have military hardware purchased from walmart putins time is short because the real shotcallers will not tolerate the loss of money over his delusions of grandeur the people will rebel against the government in favor of democracy,russia
this is not surprising,unknown
genocide by azov to civilian finally the truth came out,unknown
nothing is for free not even us bs,unknown
good russia,russia
5167 8031 0156 3232,unknown
what is happening to the russian soldiers who have lost their lives for putin the man who doesnt care what happens to them if the ukrainians really have many dead russian soldiers then it would be a big coupe for them if they could return them to their families in russia on the 8th or 9th of may which is victory day in russia who knows it might be a victory day for the ukrainians too and bring an end to this senseless war and give proof to the russian people who deserve to know what has happened to their sons and daughters in putins war on ukraine,"russia, ukraine"
pres putinsor modernday emperor paranoia or imagined threat is getting wider finlandand sweden are considering joining nato also they are pushed by the recent military aggression of ukraine if putin can do this to his brothers sistersas what he thinks in ukraine the more he can do it elsewhere so finland is getting swarmed by russian troops in her border lately if we are going to follow the pattern its worrisome to be a neighbor of russia you are immediately perceived as an enemy once you show intention of joining nato so finland norway estonia latvia georgia azerbaijan etc are all in danger of being invaded once they copy what ukrainians did this is serious pres putin is entertaining an empty threat in his mind,"russia, ukraine"
so where is space force take out russias satellites,russia
russia is the big boss,russia
take out the russian glosnas satellites us gps needs to be changed and updated china and russia using the us gps is absolute stupidity on the side of the us,russia
us are wrong to have gps in ukrainian,ukraine
who jammed the moskvas communications a small drone or a growler or awacs nearby someone blinded the moskva and let ukraine have a guided potshot at the russian ship who did this thats a six milkion dollar question if someone can find the answer you will findout who really killed 400 russian sailors,"russia, ukraine"
thank you,unknown
good to hear the news,unknown
russia has glonass they do not need gps that would place them 20 meters beside the road the are supposed to be on,russia
the us has done the same,unknown
we are not advice as we think wake up america,unknown
hmm i remember when people laughed at the new space force but now its a good thing they were created for this reason,unknown
surprise,unknown
accuse of jamming what do you expect the russian to do sit and watch how the world fight against the eastern orthodox church what sort of bogus information war you are playing against the russia atleast they have not slaughtered a million ukranian,russia
most civilians in the westus also use russian satellites too glonass there are four major satellite systemsnetworks its a standard tactic to jam or attempt to monitor communications in a war zone,russia
russia is talking to usa in the language that it understands,russia
putin you are the man,russia
just switch over to the russian gps signals those are not jammed,russia
it seems that ukraine war game just has got a twist,ukraine
time to crusiesmissleattacktheyace,unknown
us tell me you dont encrypt your signal then theyre probably sending a false gps signal to the receiver,unknown
well of coursewhat did you expect,unknown
so us admitted they are involved in this war can you stay in your fq continent and stop bringing wars to other countries,unknown
unfortunately putin has been planning this scenario for 22 years and knew it would be bloody and costly and would lose lot of men just like both world wars before this unfortunately we are not dealing with a unexperienced man hes a kgb assassin with the most sophisticated powerful nuclear arsenal on the planet and with the most powerful air defense system in the world that nato fears the most specially if they have to fight russia in a national survival war like the nazis because the grim reality of past has repeated itself again in the 21st century and once again we were expecting different results unfortunately no one has learned anything from it now in 2022 and now because everyday this war goes on in ukraine the doomsday clock ticks closer the start ww3 at anytime or worse go right to a nuclear war if japan or any other country backs ukraine with soldiers like japan is about to do and there military over ukraine to help stop putin from annexing any more old soviet territory in his next step to push nato out of his soviet warsaw pact territory which has been more vunerble and distracted and more vunerable than anytime since ww2 thats already suffered and lost a lot because there in the middle of the worst pandemic in modern history and now possibly the next world war is right at there doorstep so be very concerned people this is no joke especially now with china with eyes of a hawk watching everything unfold very carefully and could launch a attack on tiwann and use the south china sea to do its just waiting for the usa to make the wrong mistake and be caught off guard with the war with russia and its allies estein said the next war would be with sticks and stones because nothing would be left but a dying radioactive planet uninhabitable for centuries and if someone did survive and managed to get enough people together for another one it would be the cave man way and nothing else just like the movie threads only this time its ukraine that starts it not iran now in todays war with russia,"russia, ukraine"
russia is use to taking high casualties and prepared for it they lost 27 million in ww2 and it took millions to just to break the back of nazi germany putin doesnt care about that he knows hes already one because nato is afraid of nuclear war if they interfere so all he has to do now is get ukraine to surrender and if that means leveling cities to the ground then so be putin told the civilians to evacuate many times before the military aggression and said this will be bloody and brutal so if you dont want to die leave now and lay down your arms but they chose to stay and think this was a joke and putin wouldnt evade even when he had almost 200000 men at ukraines doorstep and we told there president he would invade right after the olympics but everyone in ukraine thought it was a joke and russia would go home as soon as they were hit with sanctions and chose to stay and even worse fight and have there families fight when they didnt need to when they have a powerful ground ukraine army that knows how to fight there own kind and doesnt need civilians getting in the way making it harder for them to do there job and much much more dangerous now for everyone because they stayed and chose poorly unfortunately,"russia, ukraine"
god bless putin a real peace keeper our city in donbass has been shelled by ukrainian nazis for 8 years the ukrainians murdered thousands of people since 2014 unfortunately not a single word in the media the government is completely fascist god bless russia and every russian soldier you you guys live on the other side of the world and have never seen these were crimes committed by ukraine so i suggest you guy go back to being tik tokers instead of political war experts thank you putin its not putin our country would be worse than iraq nato is a ruthless war machine thank you russia for stoping these cowards,"russia, ukraine"
after 2014 government change in ukraine by usa they sold ukraine to rothschild and comp and started homosexual parades and now they brought ukraine to the state of sodom and gomorrah putin trump an angel of godputin strong trump strong sarah palin strong lol sarah palin is about to put trump back into white house loltrump wonlol,"russia, ukraine"
thank you president trump for facilitating the world wide gps usage via space force why was this a joke,unknown
if germany fell into the trap of the united states and britain and starts activities against the national interest of russia it will be a blunder then after effects will started soon and german economy will be paralyzed,russia
well the fact is america is selling their weapons to ukraine and america will never want this war to end its like putting fuel on the fire america,ukraine
putin and russia are lost and will end in death,russia
mariupol,ukraine
good russia,russia
great move do whatever necessary to jam those aggressors from the us n nato now nato stand for no action talk only what russia should do is to shut them up n then it becomes no action no talk nano alliance,russia
thats very interesting exactly when did nbc decide to cover for the biden s by not accurately reporting the lap top story and what have they gained by being a part of the deep state child mo cabal 10 to the big guy,unknown
great job russia,russia
fantastic news,unknown
america military assistance to ukraine surpasses 3billion dollars add nato and the rest of the west assistance and russia is still standing a chance in this war wow,"russia, ukraine"
russia,russia
usa and russia will turn ukraine into a warzone sad to see it,"russia, ukraine"
if russia doesnt watch there step they will bring nato to join the war,russia
call putins bluffput feet on the air land and seaand stop him,russia
nk jammed it too,unknown
aaaaaahhhhhhhaaaaaa tell putin i love him,russia
it will be handledarchangel michael,unknown
if google maps say turn left think twice,unknown
2019 ukraine and zelensky are corrupt 2022 ukraine is a democracy zelensky is a heromedia thinks people r brain dead,ukraine
why is trump sending money and aid to russia,russia
ok key word was maybe in other words he dont know,unknown
russia is mismatch every nato supplying arms to ukraine and russia just doing itself alone,"russia, ukraine"
officer webber at the veterans affair police substation in phoenix arizona will violate your kids hardcore and i will fart bubbles while webber is doing gods work on your atheist children i will utilize salt river pima maricopa police and tevor thundersheild at hom inc in phoenix arizona to call the phoenix veterans affairs sub station to promote blood stoolcall phoenix veterans hospital jadeopal clinic and ask for mrs warren,unknown
uhhhhm this was a known problem almost from the moment the gps system hit the drawing board it is a rather ho hum trivial technical trick to jam consumer gps,unknown
what did u think they would do the americans have no business there they do the same thing in their embargoes and wars get out of other countries affairs and get over it,unknown
lol oh america propaganda at its best ppl open your eyes nbc cbs the sun and all other nato allied broadcasters only allow you to see what you want to see,unknown
good,unknown
slava ukraine gps we dont need itwe know where the russians are including putin all his family members and lovers 247 sq303 tiarmy free peoples satellite 2500890 strong world widenato otan we need cover over the black seawe going inafter all russians ships,"russia, ukraine"
it seems like we know how to sink ships like the moskva regardless of their counter measures,unknown
fortunately elon musk has sent starlink receivers,unknown
thats chinese technology put sanctions on china,unknown
why is russia soldiers using rockets like thats unacceptable they are killing all the ukrainians that is not what they are supposed to do prayforukraine,"russia, ukraine"
dont worry its just special jamming operation,unknown
blimey,unknown
its time for us to get involved with our air force in ukraine everything that russia is doing to the civilian population in ukraine goes against everything we in the west stand for in our principles how can we sit here and do nothing while ukraine is literally destroyed soon mariupol will have not 1 building standing the city will be wiped off the map how can we call ourselves civilized and allow such evil to prevail our ww2 veteran grandfathers were not afraid they were not cowards they would be ashamed of us today,"russia, ukraine"
its a 2 way street,unknown
why cant we do it too them,unknown
the us is an active combatant our spy satellites are accessories to this conflict and subject to blinding and destruction,unknown
thats scary to know that russia can hijack the gps system,russia
the only aggressor here is putin nobody attacked russia or threatened russia yet russia is slaughtering thousands of innocent people and threatening nuclear war this man is out of control the russian people need to take him out for thier own safety,russia
good job excellent,unknown
was about time russia steps up,russia
here the answer from elon musk,unknown
hahahahahahaha,unknown
the wars in taiwan south china sea is going to be technologically advanced wars my friend is a navy officer he went to china on the way coming home they lost their track until their boss beg chinese navy to allow them to leave before the chinese navy unlocked their gps to switch them back to europe gps,unknown
puttin the mass murderer,unknown
arrest puttin now,unknown
arrest puttin now,unknown
so zelinski is the new president of the us,unknown
keep testing russia and youll get what youre asking for,russia
be just like pearl harbor and 911,unknown
wish putin world push the button,russia
it is a war what you expect,unknown
they have stopped f35 from operating how embarrassing,unknown
isnt that what musta satellite are for,unknown
russia is having problems with ukraine imagine lol take some mydol and go to bed putin,"russia, ukraine"
well what do you expect when you provide them access to your satellite,unknown
pray god will turn the hearts of the leaders b4 its to late if you agree thumbs up,unknown
russia should declare a war in the spaceget rid of all those gps and satelites,russia
i would shoot down all satellites anything that flys over russia is fair game,russia
usa and nato must send troops in russia to stop psyco and assasin putin and his war criminals,russia
i do believe that us military would have its own gps navigational equipment separate from commercial ones it would be soo foolish to incorporate both,unknown
good for russia,russia
so soon we will see star wars in sky,unknown
go russiablock them,russia
z,unknown
lol yesyesyesyes yesyesyesyes russia take out the obamas personal nazi trash lollol,russia
war mongers,unknown
russian has an army of 1 million men and two million reserves ukraine has 28000 men in army and lost 3k men this war will end with bloodshed and you watched it happen us send in troops,"russia, ukraine"
russian are powerful,russia
why putin wants ukraine perhaps it is better to ask why putin does not want ukraine to become a nato ally the only real government in the world today is nato which has 50 wars on its conscience that ended badly nato is an offshoot of the usa which under the pretext of democratizing other countries wages war all over the world against those who do not think like them,"russia, ukraine"
face it we are at war,unknown
obama dropped so many bombs on innocent brown people that we he ran out of bombs when does the trial for high crimes against humanity and war crimes begin obama bush and clinton are all war criminals,unknown
the empire is going down anyway,unknown
good,unknown
russia is so weak it let us to interface its war for providing arms and gpd satellite systems,russia
puppet zelensky eat your kosher bagels boy,ukraine
hunter biden and the ukrainian oil companies and oligarchs stay tunned,ukraine
general mark milley said the war between ukraine and russia will last years but not certain it will last a decade with that being possible how can the biden administration allow this to be so drawn out either give ukraine all the conventional weapons and support they need immediately or give ukraine nothing so the war comes to an end asap which will result in less deaths from a long draw out war when the us was in wwii there was no military doctrine to allow such incompetence the biden administration and his military advisors are incompetent if they foresee this war lasting years and not doing anything about it,"russia, ukraine"
democrats dismantled president reagans sdi program and ridiculed it he was way ahead of the game,unknown
russia and china might be using american sattelite but the question is what information they will get american are not stupid to give the real information only american military has access to the real pictures of the sattelite,russia
youre telling me gps by us is being jammed and there are no alternatives if its the case were screwed,unknown
peanut butter jelly jammer,unknown
gps georgian poodle siege,unknown
drones,unknown
just use russias or chinas gps,russia
100 vital well it looks like people are going to have to learn to read a map you know like we all used to before gps was a thing,unknown
a russia tem ataca os satelite estados unidos qur estive dando informacoes para ucrania sim,russia
hahahahahaha as if us is an innocent victim only the us and this brain damaged propaganda can start a war and then fake cry about morality this is pathetic,unknown
usa stop ben nasty if anything happened usa is blam,unknown
america should expel russia from the un security council and strip it of its veto power this would be a fatal blow to russia because there are many countries that fear a russian veto as for russian oil and gas it must be replaced by american and qatari gas and oil via ships and the nigerian through the nigerian pipeline passing through to sinigal to moritania to morocco to europe this line must be accelerated he likes to supply ukraine with a thousand us and turkish drones and russia should be denied a russian veto,"russia, ukraine"
this has to stop the tyrant putin must go,russia
buy paper maps,unknown
the fact west is supporting ukraine in the war is pushing this world to a nuclear holocaust the west wants to install military base in ukraine against russia the anti rusdian hype is obviously strong despite the soviets gave up their communist and embraced democracyyet there is no stopping of the anti russian tune by the west led by tricky politicians of the west for publicity and political gains,"russia, ukraine"
hopefully someone on our side has foreseen this problem and has figured a way around it or developed backup plans even if it means going old schoolalso are we doing the same to russian gps systems,russia
let them fight thats it,unknown
its not that hard to navigate a misleading directly to the jamming signal it is how we used to navigate aircraft,unknown
its warstupid general,unknown
why dont the hackers clear it or elon musk,unknown
i dont trust anything nbc says or any woke general that would sit with fake news,unknown
ash muck to help no problem for space x can do,unknown
free gps is misinformation not hatingbut it is not the full or correct truth just saying,unknown
haha they should lets see how you live then mr flinstone,unknown
of course russia is going to block gpswouldnt we the war mongers at the pentagon and nbc war cheerleaders need to reminded that escalating this will lead to a global nuke war idiots,russia
nudge their satellites out of orbit would putin continue to bomb if he knew his family members were in ukraine,"russia, ukraine"
is anyone else experiencing slower internet service recentlyive been at 150 ping constantly for the last two weeks,unknown
russia is interfering america at the russian ukraine boarder by the way a country that is situated thousands of miles away from the boarder is not interfering right,"russia, ukraine"
still makes me laugh space force with the star trax logo,unknown
svjetski politiari znaju to im je initi ako se nemoe do tumora pale se ile koje ga hrane isto tako ako se nemoe do agresora na ukrajinu poziva se na meunarodni sud potpora koja uzdie te agresoreima li utjecajnije potpore agresorima od crkve u rusijikada bi u jedan dan svi suosjeajni vjernici izali iz te potpore krvoproliu iz te crkve mogue je da bi rat u ukrajini odmah zavrio moda i nebi no bar ti vjernici nebi imali udjela u potpori krvoproliu,unknown
premda crkva u rusiji prima novac zbog kristaipak slui nekome drugomepodupire agresiju na ukrajinu i prolijevanje krvi mnogih,unknown
there is honestly no place for me and my sister to jam we hit now all the while your fairy defect music dont even go past the door oh look a labottomy child oh look a poisoned child you would say i would say take it back,unknown
one thing leads to another and all things lead back to nuclear attack by russia its inevitable,russia
romans 1013 whoso ever shall call upon the name of the lord shall be saved jesus is lord,unknown
durrhow stupid can these american generals be do you think if youre in a war with an adversary with matching capabilities they would allow you access really,unknown
unaudited military cash aids will enrich you but you will be totally responsible for this continual destruction and killing of precious lives zelensky accept that you made a mistake you should have had surrendered as early as day one which could have had avoided all these deaths and destruction indeed it is better late than never you are threatening the whole world of total destruction because of your pride and self interests surely you could never expect nato to assist you further because if it does such will trigger a thermonuclear war that will totally destroy all civilizations on earth,ukraine
lets jam russian satellites,russia
the british nightingale sings in a russian cagethe presence of nato military in ukraine american soldiers are dying for us interests in ukraine,"russia, ukraine"
whats with democracy now being shut down notice states it is offensive i watch amy goodwin every morning but today shes been shut down russia or repubs,russia
the children singtribute to ukraine in darkness theres a painin silent nighta glow of shame seeps through a candlelitea troubling sense oh of days to comeand where would we be nowif the world lived in harmonythe children smile and sing if the world lived in harmonywhere would we be nowbut theres a man of thirsthe seek no drink divides the world of skinand how they thinka rising hate oh and blood will flowand where would we be now if the world lived in harmonythe children smile and singif the world lived in harmony where would we be nowpeople stand idle byno thoughts to sharea burning rage growing largeeverywherethe time is near oh to make a peace and where would we be now if the world lived in harmony the children smile and singif the world lived in harmony where would we be nowthe choice is ours to makethy will be doneto close our eyes and ignorethe righteous flight of everyonesoaring so high in our lives we lovewe all need to stand and live our lives in peace harmonythe children smile and singlive in peace and harmony together handinhandpeace and harmonywe all need to standfor peace harmonypeace harmony humble driver youtube,ukraine
jamming gps is easy and inexpensive thing to do stuffing gps signal is much much more expensive to do but possible,unknown
russia is sending a message to the world we will f with you anytime we choose and place we choose and anyway we choose how is the world going to respond,russia
ukraine is allowing nato to test their weapons at the cost of ukraine life russia needs to use nukes to finish it for all nato fears,"russia, ukraine"
time to launch spaaace force,unknown
brother boris and master yuri is making a sip of coffee,unknown
russia is well ahead of this lot,russia
usa and russia and similar country both become more strong brother country in geopolitics mental,russia
focus on the solution not the problem,unknown
i can remember using railroads highways and water towers to determine my location when flying jam that,unknown
see russia can hit your satellites but they are choosing the other way to avoid war,russia
does it take anyone by surprise,unknown
seems like theres a good way to stop this drop missiles on russian population centers not nukes but high enough ordinance where some civvies might be roasted alive in the process call it a special gps support operation,russia
and why do usa have a gps signal in ukraine,ukraine
so i pay a ton of taxes every year so other countries can use it but dont contribute,unknown
enemies trying not to help each other in a wartime no less whats the world coming to,unknown
usa can stop the war between russia and ukraine without sending weapons and missiles to ukraine,"russia, ukraine"
so whats the resolve,unknown
bomb american special opsbring the krap home in a box,unknown
nazi ukrainians welcomednative american blacks notdestroy all nazi copsblacklivesmatter nazi ukrainians welcomednative american blacks notdestroy all nazi copsblacklivesmatter,ukraine
spaceforce wears camouflage at work,unknown
oh ffs theres gotta be a work around this surely,unknown
they almost sound butt hurt about it,unknown
your tactics arent working against russia right,russia
in the past 12 months prior to this war i can confirm that while flying over russian airspace they do indeed jam gps signals adsb of international commercial airlines the chinese are also known to do this,russia
lets russia destroy everything,russia
there are the us gps system with different codings and inserted pseudo ramdom errors in the civ codenormaly the us doesnt present the code with lower accuracythis is only deploid in war situations and during training or military manoevers f ex as the ongoing since three year long drill together with finland sweden and some othersif there have been a disturbance or jamming of the carrier frequence of the gps or impossed protocoll changes locally and thats if its as likely that this have been done by these manoevers and drills by that ongoing semi nato exersice as by russianshow can i claim thisrussians could do this as early as in the beginning of the 1990sso why meadling with it nowon the other side there are a significant part that are poorly trained and not that well equiped with the transmitting equipment and it is out of that fact moore likely that some unexpirienced recruit have gone in and sent something in the carrier wave domain for the gps satellites and by that blocked out the posibility for the aeroplanes equip to hear the signals from the satellitesbut i am not convinced that anything realy have accured regarding civilian airtrafic,russia
us is doing the jamming no way they cant do way better than what Russian can dostarlink was being jammed several hrs of a day till musk added software to by pass it an software to enable use from a cars cigarette lighter,russia
we need mr putin to give us his side of the war he is nursing the babys room way to go lords of honors,russia
200 to seized super yachts of the russian oligarchs,russia
good thought they were gonna drop mms,unknown
what do you think russia does it jams it lies it massacres we knew ukraine was being invaded corrupt west cant get its act together bc its too corrupt putin knows that which retains power in light of corruption or psychosis remains,"russia, ukraine"
at least they have identified the problem,unknown
i guess america is in the war,unknown
back in the day you could hear russia jamming voice of america broadcasts on shortwave radio but we allowed radio moscow to be heard,russia
once again never trust russia china nk iran,russia
american foolishness will come back to their body slowly,unknown
jam em back you know how turn off all their internet too while your at it block their radar as well,unknown
dictatorship is not leadership its a crime against peaceful establishment world leaders must force russian government to talk on diplomatic table,russia
real war not computer game,unknown
please please pleeeeease get shatner to lead space force please,unknown
listen to the screams of shanghai today,unknown
they are gonna have emp weaponry its gonna be like cod then lights out youve been warned good luck stock up on food and water get to know thy neighbors,unknown
give them aircrafts already nato is pathetic,unknown
putin said fafo,russia
russians have more mathematicians,russia
why not use spacex gps i am sure pentagon is using it,unknown
well russia better not mess with the us satellites or they will be getting a strongly worded email from the pentagon you dont want that,russia
time for the usa to shoot down russias gps satellite,russia
good job russia,russia
there is also the european galileo global positioning satellitebased navigation system,unknown
i remember in 2003 when russia gave the iraqis antigps systems to jam us smart weapons they got bombed by gps guided smart bombs,russia
the world stands with russia,russia
wtf was that the russian satellite weapon was firing doesnt look good,russia
this is not good at all,unknown
never declare your hand,unknown
cant we jam the russians,russia
lucky trump made a space force putins headed for the moon better get on it quick,russia
the compound effectkamikaze effectiveness needs to be used now to target the kremlinonly one thing will quickly change the makeup of this war and that is the removal of putin what ever it takes this must be done now there must be the constant thought on putins mind that at any moment he will be assassinated from with in or from outside his spherespherethank you to all our brave ukrainian warriors kamikaze effectiveness must start nowtoday,"russia, ukraine"
