comment,kebijakan
wow baru tahu ternyata selama ini yg terkait kesehatan dan pendidikan tidak kena pajak ini penjelasan yg clear dan fair play semoga pernyataan saya ini tidak di bully terkait yg ppn 12 barang mewah pesawat pribadi rumah harga diatas 5 miliar dsb setuju kena ppn 12 utk membantu kesehatan dan pendidikan,ppn_12_persen
melawan lupa kasus 349 t penjabat keuangan kenapa tidak di tangkaprakyat trs yg jadi tumbal pemerasan oleh menkeu dengan alasan pajak,ppn_12_persen
catat sembako ppn 12 persen,ppn_12_persen
melawan lupa kasus 349 t,unknown
turunkan harga buah buahan dan daging seperti sapi dan kambingdombaagar rakyat kecil bisa makan merasakan karena saya tahu harga daging seperti sapi kecuali ayam itu mahal untuk orang yg bener2 hidupnya pas2 tidak bisa beli apalagi buah seperti anggur apeldll,ppn_12_persen
saya sih yakin semua pejabat pakai iphone,unknown
tu koruptor timahbpjs saja dibayarin negaramenteri keuangan tahu tidak tuorang tajir tucuan cuannegara ngurusin org kayamenteri keuangn tidak tauuang negara kluar ke mana menteri keuangn tidak taunah kok bisadidikn kerja kerja kerja hasilnya sperti itukatanya jebolan world bankuang ngalir ke mana kok tidak taumakin pengalaman insting makin kuatsetidaknya itu back up klau yg tersurat loloscuek y karena salah tetap merdekaikan yg sehat adalah ikan yg melawan arusikan yg ikut arus brarti ikan sakitminim lah ikan yg bodo amatklau sperti ini 2045 hanya php jangka panjangmana rasa hormatterimakasih pada pahlawan yg mewariskn kemerdekaan dengan pengorbann nyawankluarga para pahlawandijamin lupa apa malah tidak tautanah tempat numpang hidupberdiri itu bercampur darah pahlawancita2impianharapankeinginntujuankhayalanpahlawn tidak seperti inimikir tidak yklau dijaman penjajahn bisa tidak hidup sperti sekarangklau untuk rakyat kecil mirip dijaman penjajahnmasih adabanyak yg klaparanmeninggal karena tidak ada biayabanyak yg gaputus sekolahpahlawan tidak butuh upah apapunpejabatsudah dikasih upahfasilitastunjangnrumahkendaraanpensiunkerja tidak tanggungjawaboenak nyoburuhkaryawan pabrik mana ada itutapi tanggungjawab jangan ditanyasanksi potong gajipenundaan kenaikan gajiturun jabatanskrossampai sanksi dipecattanggungjawab boss padahal yg diterima sekedar cukupmana pembukaan uud45 alinea 4sedih dahpahlawan,ppn_12_persen
menkeu nya kacung penjajah amerika yang mau nya rakyat indonesia melarat bodoh,ppn_12_persen
sebentar lagi ppn naik asyikkkk dpr pasti senang rakyat di rampok abisss apa kabar kemarin vonis ringan,ppn_12_persen
bisa dikatakan bahwa yang ribut itu kalangan pengusaha ataskaya tidak mau membayar pajak untuk barang mewahnya,ppn_12_persen
percuma bu kalau koruptor masih ringan hukumannya tidak akan jera,ppn_12_persen
jangan bodohi rakyat kecil dhn kt2 barang mewah ujung2ya semua barang naik emangya barang bisa sampai dendiri tanpa di angkut sri2,ppn_12_persen
para penghasut dan provokator kena mental si oneng dan para anak abah langsng terpaku diam tak berkutik berharap ada pergolakan dari penolakan kenaikan ppn eh malah yg terjadi hanya untuk barang mewah salut ama tim politik pak prabowo gibran umpan lambungnya kena telak langsung keliatan yg panik dan berusaha mengalihkan ruu perampasan aset yg terang2an merugikan orang paratianya sndiri sabar mak mega sabar oneng yaaaa agak2 abah juga yaa sabar liat gebrakan selanjutnya yaaa,ppn_12_persen
terima kasih ibu saya sangat bersyukur semoga ibu sehat selalu dan di beri kemudahan semangat dalam menjalan kan amanah nya semoga amanah,unknown
betina inilah kaki tangan imf dan luhut binsar penjaitan yang tak tergantikanuntuk menghancurkan indonesia,unknown
ahhhnanti banyak yg mengakali supaya menghindari pajak apalagi orang kayabuktinya pertalite buat yg golongan menengah bisa dipakai yg makai mobil mewah,ppn_12_persen
argh bangsat loeloe dah kayalah kami kami ini,unknown
rakyat sangat setuju,ppn_12_persen
rasain lu para oposisi bisa nya bikin gaduh saja tidak dapet kue nah di jelasin kan sekarang sape aje yg naek pajak,ppn_12_persen
tanggung naikin 1 doang dari thn lalu naikin dong 20 biar makin hancur ekonomi menengah kebawah,ppn_12_persen
fakta dilapangan berbeda tolong prabowo n sri mulyani blusukan dong kepsr udh pd naik itu sayur mayur termsk cabai dll,ppn_12_persen
males bet sihh jadi pejabat bisa nya hanya naikin pajakcari duit laen tidak becus ya,ppn_12_persen
sudah dapat email dari penyedia internet rumah naik jadi 12 persen,ppn_12_persen
sama juga bohong jika nol tanpa melibatkan ppn lama 11 jabgan bikin dagelan bu sri tetap juga rakyat bawah terbebani pajak,ppn_12_persen
rakyat tidak bodoh apapun alasanya tetap rakyat kecil yg kena embasya,ppn_12_persen
itu yang harus diberi sanksi ppn 12 adalah barang mewah bukan kebutuhan masyarakat bawah yang dimana belum tampak perubahan ekonomi menjadi baik sejak awal terjadinya pademi covid19 terima kasih atas pengertiannya bapak presiden prabowo subianto,ppn_12_persen
rakyat hk bodoh,ppn_12_persen
apaiya barang mewah sajadimarket sdh ada edaran kr barang2 retail naik jadi ppn12,ppn_12_persen
sri mulyani ini bukan menkeu tapi begalgarong bagi rakyatnya sendiridan prabowo hanya bisa omon omon,ppn_12_persen
sejak jaman mulyono sampai omon omon ngak bisa cari uang selain naikan pajakanak tk saja bisa kalau gini carahnya,ppn_12_persen
barang mewah atau semua transaksi digital soalnya bbrapa udah ada pemberitahuan hari ini kalaupun per 1 januari 2025 ada perubahan biaya seiring penyesuaian ppn 12,ppn_12_persen
kopi kapal api kopi nescafe sashet tanpa gula kemaren harga 500 rupiah sekarang 1000 rupiah apakah kopi itu termasuk barang mewah lawak sekali,unknown
kok sayur mayur cabe dll udh pd naik sihtolong bu mulyani blusukan dipsr deh,ppn_12_persen
pecat nih orang muak kali saya liat nya,unknown
tol gratis lah udh bayar ppn itu,ppn_12_persen
alhamdulillah,unknown
bohong kamu bohong,unknown
apa pun alasannya jika mang tahu nya hanya membebankan pendapatan kepada rakyatnya jelas itu bukan menkeu yg pintar dan cerdas menkeu akan dikatakan pintar dan cerdas dalam meningkatkan pendapatan jika mampuh mendapatkan pendapatan negara dengan memaksimalkan kekayaan sumber daya alam negaranya sekaligus menurunkan pajak pajak yang ada bahkan jika bisa menghapus pajak pajak di sektor tertentu bukan malah sebaliknya menambah pajak,ppn_12_persen
lapor bu beras minyak dan sembako lainnya sudah naik duluan harganya bu,ppn_12_persen
awal mula carut marut indonesia partai bantengpak dheide brilian mak srimul,ppn_12_persen
sita semua aset harta kekayaan para koruptor untuk menambah dana apbn dan untuk memajukan bumn agar ekonomi nasional bangkit lagi uang para koruptor kalau sudah di kuasai negara bisa juga untuk di pinjamkan para umkm ekonomi masyarakat berkembang dan bangkit lagi pasca pandemi covid,ppn_12_persen
ada yg tahu tidak di daerah cibinong kalaupun ambil kredit motor nilai kredit motornya 20juta disamping dp konsumen masih dikenakan pajak obsen sebesar 1300000 dan tiap dealer motor beda besarnya tarif pajak obsen apakah pajak opsen itu benar ada atau sengaja dibuat oleh dealer motor kalaupun ada yg tahu mohon infonya karena konsumen kok dibebankan begitu besar pajaknya,ppn_12_persen
dasar menteri abal2 bisanya bikin susah rakyat dasar menteri pemalak rakyat,ppn_12_persen
setuju,unknown
barang mewah barang rongsok sekalian naik semua biar pemerintah puas dan puas,ppn_12_persen
ini prempuan sdh tidak becus masih saja dijadikan menteri,unknown
pajak motor kena cuy,ppn_12_persen
mereka tidak berani sahkan uu prampasan aset korup sebab yg korup kan mreka sndri mungkin si mentri wanita satu ini ada di dlamy,ppn_12_persen
skenarionya hanya barang2 mewah yang naiktp kenyataannya pasti ada efek domino ke barang2 yang lainini tidak bisa dihindari,ppn_12_persen
akan ada demo besar besaran bukan petasan tapi kemarahan menyala wi,unknown
kenapa tidak pajak ekspor batubara saja yg dinaikkan kenapa peras rakyat terus,ppn_12_persen
sy ddh eneg liat wajah ibu inida mo muntah,unknown
saya tidak percaya sama pemerintah indonesia skrng makin banyak yg busuk,ppn_12_persen
kangen tragedi 98,unknown
dan terjadi lg rakyat yg nutupi minus negara dari hasil karya para bangsatker koruptor celeng beserta keluarga haram,ppn_12_persen
emmm ok gas baru mulai dah pajak2 kalau begitu tanam sendiri,ppn_12_persen
ini orang hobinya meras rakyat,ppn_12_persen
fix yg demo menolak pajak 12 adalah pemilik rumah mewah mobil mewahjet pribadikereen horang kaya demo turun ke jalan bakar ban cuuk,ppn_12_persen
lanjutkan bu in sya allah itu yang terbaik,unknown
mereka menaikan pajak ngga merasa berat ya iya lah tunjangan mereka gedeeeee coba sama kaya rakyat kecil mana mungkin bikin peraturan2 nyeleneh,ppn_12_persen
perbanyak lapangan kerja dulu krna di kampung mkin banyak pengangguranjngn terlalu membahas soal pajak pajak di naikan ujung2 di korup dan di pnjara 65 thn,ppn_12_persen
saya denganr ada pluruuu naik ppn12,ppn_12_persen
keren nih ye mana nih pemilih samsul bahagia kan dengan video ini,unknown
mantap pa presiden dan jajaran nya demi kesejahteraan rakyat indonesia tercinta,ppn_12_persen
wisto naikkkk no teruskatanya mensejahterakan masyarakat tp nyatanya mencekik rakyat,ppn_12_persen
makan itil sri mulyani lebih enak karena tidak kena ppn dari pada makan nasi beras premium kena ppn,ppn_12_persen
menurut saya saya baca komen dari atas sampe bawah ini mah karena ketidak sukaan saja coba perhatikan apa yg di ucapkan yg 12 ppn barang mewah saja dan di jelaskan apa apa saja yg kena 12,ppn_12_persen
barang mewah kena pajak kita rakyat kecil makan di rumah makan juga kena pajak jadi jelas pajak yg dibayar dari rmh makan yg bayar pajaknya orang yang makan pengelola rumah makan ngga mau bayar pajak krn pajak yg dibayar justru diambil dari orang yg pada makan rumah makan licik sekali,ppn_12_persen
tapi kok nyatanya saya belanja kebutuhan bulanan di mini market sudah naik harganyapadahal belum tgl 112025 bingung deh,ppn_12_persen
manusia ini kok masih jadi menteri rakyat mana yg mau balikin saja ke amerika otak dari segala pajak2 selama 10thn ini pdhl negara miskin dari banyaknya koruptor,ppn_12_persen
alhamdulillah ternyata begitu yaa bu ppn barang mewah saja,ppn_12_persen
kalau ndk ngutang bisanya naikin pajak mantap cocok dapet penghargaan,ppn_12_persen
yang bikin emak2 protes itu gosipnya cilok sama seblak kena pajak 12jangan sampe kena soalnya itu makanan pokok the nurulsudh pada mau demo tuh bu,ppn_12_persen
si muka rakus harta kenapa masih nampang di dunia ya,unknown
ibu menteri terlihat sangat kecapekansemoga ibu diberikan kesehatan,unknown
statementnya tidak sesuai butir2 undang2 thn 2021 yg mrk buat kalau memang benar utk barang mewah saja kenapa tulisannya bukan ppnbm yg gblok siapa keseeeel jadinya bikin gaduh,ppn_12_persen
prakteknya nanti membingungkan mana yg tetap 11 mana yg 12,ppn_12_persen
kalau begini saya hrs cek ke ar pajak saya kena apa kagak,ppn_12_persen
mulut mencos,unknown
oli kendaraan gimana bu naik pajak juga 12,ppn_12_persen
memang beras padi tidak kena pajak tapi tahun ini saja pajak sawah saya naik 80 persen biasanya taun2 dulu 50 ribu taun ini 80 ribu yang extrim banget pajak pekarangan teman saya biasanya hanya 400 ribu taun 2024 pajaknya 15 juta haduhhhh nangis nangis dah mana pekarangan tidak profuktif,ppn_12_persen
srimulyono pemeras rakyat,ppn_12_persen
buuemang negara sdh tidak sanggup mengelola ke kayaan alam negara ya buu selain mrmajak kii rakyatnya,ppn_12_persen
masalahnya di lapangan harga2 kebutuhan sehari2 sudah naik,ppn_12_persen
ratu pajakkebijakannya dianulir oleh presiden,ppn_12_persen
kenapa mobil mewah yg harga 100 juta keatas tidak kenak pajak 12 persen,ppn_12_persen
