comment,kebijakan,sentiment
pajak naik semua barang produksi dlm negeri akan naik harganyakemudian brg impor dr china begitu derasnya masuk indonesia ini aja yg dikenakan pajak tinggi jd barang produksi 62 diturunkan pajaknyamau tanya pajak barang 2 dr china itu berapa koq barang produksi dlm negeri koq lebih mahal dr produk china  tolong bantuin unt jwb krn ketidak tahuan saya,ppn_12_persen,negatif
di tengah daya beli melemah seharusnya pungutan ke rakyat dikurangi bukan terus nambahin pungutan 10 seharusnya bukan malah naik,ppn_12_persen,negatif
itu mentri dan anggota dpr gak tau kondisi rakyat apa tau tapi pura2 tidak tau  asal mutusin aja kebijakan seperti moral anak2 labil,ppn_12_persen,negatif
1 artinya semua barang  naik 10kecuali kolor itu juga kalo malam,ppn_12_persen,negatif
oligarki dapat pengampunan pajakdia yg utang rakyat kecil dicekik pajakbiadab,ppn_12_persen,negatif
sudah dibilang kalau rakyat cerdas pilih pemimpin yang cerdas ok gas oke gas gaspol,ppn_12_persen,netral
pesen saya untuk pemerintah konoha taek,ppn_12_persen,negatif
si mulyani suruh tukar nasib 1bulan aja jadi pedagang kecilpasti gak lama dia bunuh diri jadi rakyat kecil,ppn_12_persen,negatif
ok gass ok gasss lanjut naik terus yang suka berkelanjutan,ppn_12_persen,netral
rakyat kecil makin menderitaekonomi saat ini sangat sulit,ppn_12_persen,negatif
si botak pake kemeja merah ngkk mikir klo ketidk becus pemerintah tidk singkron dngn daya terima masyarakat,ppn_12_persen,negatif
digaji gede kerja cuma bisa nya naikin pajak dah mundur aja,ppn_12_persen,negatif
kata sri mulyani untuk menjaga kesehatan apbn dg menaikan ppn  jadi 12pertanyaan untuk sri mulyani  kenapa pd waktu utang 8000 t tdk menyatakan menggangu kesehatan apbn  itu namanya menteri keuangan njancuk i,ppn_12_persen,negatif
kata p wowo indonesia negara kaya sumber alam banyak migas tambang kok skrg pajak yg di naikin dulu berpidato kekayaan alam di kelola dengan baik biar rakyat meniknati malah skrg ngemis ke masyarakat sontoloyo cm omon2,ppn_12_persen,negatif
aku gak setuju jgn ppn yg di naikan pensiunan aja orang dah gak di pakai diilangin ambil aset dr para koruptor,ppn_12_persen,negatif
harga barang naik gimana mau menjaga daya beli masyarakat tetap normal gimana sih,ppn_12_persen,negatif
ppn naik rakyat kecil paling tercekik,ppn_12_persen,negatif
gw beli rumah disaat ppn 10 ngga lama itung2anya berubah karena ppn jadi 11bum lunas rumah gw udah mau dinaikin jadi 12 lagibener kata bu srimul jangan tinggal diindonesia indonesia punya nenek dia soalnyagw liatnya kebijakan satu sama lain kayak tabrakan kayak kacau banget mentri2nyajalan sendiri2,ppn_12_persen,negatif
giliran kenaikan gaji udah beberapa tahun cuma 2 sampai 3 persen alasan ekonomi lg susah giliran pajak dinaikkan apa khabar bu mentri pikir tuh rakyat udah sengsara,ppn_12_persen,negatif
udah pada siap2 turun ke jalan bakal terjadi lagi peristiwa 98,ppn_12_persen,negatif
ini menkeu kayak kalkulator saja  kayaknya cuma tau ngejar setoran tapi yg dikejar itu modyar ora ndakj usursan  tolong dong dengarain jeritan rakyatlah,ppn_12_persen,negatif
dampak hutang  makan gratis  naik gaji hakim  pelepasan hutang petani  rencana kenaikan guru  bukannya gak baik tapi tolong di rem dikit pengeluarannya rakyat juga capek diperah seperti sapi perah,ppn_12_persen,negatif
itulah oonnya yg pada mengelu2kan menkeu sekarang dia itu biangnya pemalak rakyat selama 10 thn ini,ppn_12_persen,negatif
kmrn ditawarkan perubahanmalah pilih keberlanjutan makan tuh 12,ppn_12_persen,positif
hukum mati koruptor dan rampas aset para koruptor aset para koruptor sudah lebih dari cukup untuk membiayai apbn selama 10 tahun  tapi saya yakin pemerintah prabowo tidak berani karena yg mendukung nya adalah rezim kemaren yg banyak hutang dan suka kkn,ppn_12_persen,negatif
berantas dan habisi segala  bentuk korupsi dan mafia2 tambang2 ilegal dan uang2 haram semua disita untuk negara dan para pejabat2 kls atas diturunkan gajinya  serta fasilitas2nya hidup sederhana jangan menuntut rakyat kls bwh smpi menengah terus yg hrs berkorbankalau mau naikkan pajak sejahterakan dahulu rakyat terutama kls menengah sampai kls bwh pasti rakyat rela membayar pajak lakukan kewajiban pemerintah pasti hak pemerintah yaitu pemasukan buat negara akan terpenuhi semoga surplus,ppn_12_persen,negatif
negara yang berkembang itu berani dan mandiri tanpa harus mempersulit rakyatnya jepang singapura malaysia cina,ppn_12_persen,positif
tidak aparat atau pejabat berpikirnya hanya meras rakyat,ppn_12_persen,negatif
rakyat kecil jarang beli barang gak perlu sering bayar pajak gampang khan,ppn_12_persen,netral
roti tawar yg biasa gue beli 10000 di sebuah supermarket  jadi 11000 padahal belum diterapkan ppn 12,ppn_12_persen,negatif
ppn naik daya beli akan menurun,ppn_12_persen,negatif
sebnarnya pejabat2 gaji harus kecil kalau gamau jd pejabat di indo dgn gaji kecil berbakti untuk nkri nusa bangsa ya silahkan keluar dari nkri kalau mau kaya raya jgn jd pejabat jadi aja pengusaha swasta jgn jd pejabat karna iming2 kaya korup,ppn_12_persen,negatif
turunkan mulyani menteri paling nggak punya perasaan dah ekonomi kyk gini bukannya ngeringanin beban malah pajak digeber kemarin bangun rumah kena pajak sekarang ppn naik besok nafas juga dipajakin sekalian,ppn_12_persen,negatif
gara2 utang  korupsi jadi begini,ppn_12_persen,negatif
percuma menolak segala kebijakan pemerintah ngak bakal didengardituruti,ppn_12_persen,negatif
usir sri mulyani dr indonesia kalo mau sehat apbn potong gaji semua pejabat  dpr rampingkan kaninet  asn spt kebijakan trump,ppn_12_persen,negatif
apbn sehat tapi kantong rakyat sakit bu sri,ppn_12_persen,negatif
pengusaha kaya raya dapet tax amnesty rakyat kecil cuma dapet kenaikan pajaknya doang,ppn_12_persen,negatif
maruk memang konoha ini,ppn_12_persen,negatif
nabung kena ppn  bli ini itu kena ppn bukannya di negara kita makmur mlh sengsara klo pejabat enak2 aj gaji jalan gaji gegdddddde mrk ga jd beban,ppn_12_persen,negatif
yg korupsi tidak di cek asik alih ke barang impor  rakyat dibuatin sehingga menolak brg import,ppn_12_persen,negatif
aduh aduuuh kt nya mau mensejahtrakan rakyat mana janji nya pak presiden,ppn_12_persen,negatif
percuma ppn dinaikkan bahkan di atas 12 sekali pun tdk terlalu ngefek thd pemasukan negara selama koruptor dibiarkan ayo kpk harus dikembalikan fungsinya spt jamanannya abraham samad  pemerintahan sekarang jng ikut2an sprt jkw yg melemahkam kpk dan menjadikan alat penggebuk klu bersebrangan dg kekuasaan jkw contoh presiden buruk tdk patut diikuti kpk kuat dan uang negara tetselamatkan,ppn_12_persen,negatif
ppn di naikin untuk membayar gaji pejabat yg di naikkan,ppn_12_persen,negatif
pilih mengamankan apbn atau mengamankan rakyat dan kekuatan ekonomi negarahati hatibisa saja ini upaya pihak pihak tertentu dalam melemahkan kekuatan nkri poleksosbudhankam,ppn_12_persen,negatif
pajak naik  hukum mati koruptor,ppn_12_persen,negatif
konsumsi turun  daya beli turun  bisnis banyak yg kolaps  banyak pengangguran trus harapannya apbn bisa kekumpul dengan roda ekonomi yang pincang seperti itu apa emang lagi skenario seleksi alam dari pemerintah,ppn_12_persen,negatif
benahi dulu perekonomian baru naikan pajak,ppn_12_persen,negatif
sy menolak kenaikan ppn soalnya kebutuhan itu bnyk jg ppn utk sapa utk koruptor masyrkt makin kejepit,ppn_12_persen,negatif
pertama naik 11 sekarang mau dinaikan lagi jadi 12 klu ini egk ditentang besok2 baik jadi 20 pelayanan publik masih tidak memuaskan rakyat diam dianggap terima,ppn_12_persen,negatif
boikot bayar pajak stnk pbb spt tarik duit dari bank bikin rush lagi kalau sampai menkeu naikkan ppn 12,ppn_12_persen,negatif
pak presiden prabowo kamisangat 2 memohon dngn kerendahan hati ppn jangan dinaikkan kasihan rakyat kecil sperti kamu udah bansos pkh atau bantuan lain2 saja ndak pernah dapet makan cuma seadanya tolonglah pak kami udah tua lagi nggak bisa kerja pusing dah,ppn_12_persen,negatif
pajak naik gaji naik,ppn_12_persen,negatif
setuju boikotkok enakdpr gajinya naikppn d naik kn masarakt yg ajur,ppn_12_persen,negatif
gpp rakyat jadi sulit yg penting pejabat tetap makmur,ppn_12_persen,netral
terlalu banyak mentri kebanyakan uang utk bayar upah,ppn_12_persen,negatif
sebagai  seorang pengusaha kecil saya  sangat  tidak setujukita  sudah dibebankan membayar  pajak   kita  juga  dibebankan bunga bank yg tidak sedikitmenurutku  daripada masyarakat dibebankan pajak sebaiknya  pajak dihapus  subsidi  dihapus juga jadi  negara  tidak terbebani  rakyat juga  tidak pusing  saran lg  dari saya orang kecil bank  di usur sepenuhnya  negarajadi  bank bisa kasih bunga 0 rupiah,ppn_12_persen,negatif
tangkap para korupsi dan memiskinkan jadi tidak naikan ppn yang bikin rakyat sengsara dan miskin,ppn_12_persen,negatif
mentri kurang cerdas,ppn_12_persen,negatif
mentri kurang cerdas harusnya naikkan perekonomian otomatis pajak akan naik,ppn_12_persen,negatif
kalau cuman bisa naikkan pajak gak perlu sekolah tapi naikkan perekonomian maka pajak akan naik,ppn_12_persen,negatif
negara kaya rayamenterinya berpengalamanjebolan sekolah luar negericari solusi yg gampangpajak naik,ppn_12_persen,positif
yah begitulah rezim beban ke rakyat dinaikkan agar penghasilan pejabat bisa naik  bahasanya menyesuaikan kondisi lapangan padahal kalau buruh minta naik umr untuk menyesuaikan kondisi pasti dihalang2i pejabat2 tersebut  benar2 munafik,ppn_12_persen,negatif
yg penting tdk ada korupsi  kan masyarakat bawah bs di bantu,ppn_12_persen,negatif
02 ok gas ok gas sorry ye,ppn_12_persen,netral
orang yang mendukung orang bodoh yang tidak tahu hukum pajak,ppn_12_persen,negatif
gibran menghendaki 20 persen iki piye,ppn_12_persen,negatif
sri mulyani penarik pajak tempat nya dineraka dosa besar bertaubat lah pemerintah di indonesia lucu berbisnis terhadap rakyat lewat pajak rakyat cerdaslah pilih pemimpin yang tahu tdk mencekik rakyat,ppn_12_persen,negatif
ppn naik buat naikin gaji pejabatkita yg punya usaha kecil aja sudah terseok seok buat bayar pajak apa lg kalau jd naiksama sama mau membuat rakyat tambah sudahkoruptor yg ngabisin uang negara masih pada keliaran,ppn_12_persen,negatif
boikot ayo boikot,ppn_12_persen,negatif
bisa di kategorikan kebijakan ppn 12 ini cermin dari kedzaliman otoritas kekuasaan  ketika program2 sblmnya ttg mega proyek di lakukan tanpa pertimbangan ke depan ketika hutang semkin menggunung  pada akhirnya rakyat yh dikorbankan dg dalih yg di luar nalar kita sprti untuk menjaga kestabilan apbn ko malah rakyat yg dijadikan tumbal padahal ulah dari rezim yg bobrok tdk heran jika kata2 indonesia emas 2045 cuma kata kata manis belakang,ppn_12_persen,negatif
ppn wajib turun bukan malah naikapbn mau sehatnoh hasil alam kekayaan tambang aja kalau diolah sesuai uud 45 pasal 33 gak ada tuh apbn sakit rakyat juga ga akan semiskin inigak akan juga banyak ngutang ke luar negeri krn bagi2 kue di pemerintahan terutama pembentukan kabinet sampai 109 orangorang2 bermasalah jadi menterisiap2 2030 indonesa bubarrrrrr,ppn_12_persen,negatif
ayo kita rame rame demo tolak kenaikan ppn pemerintah udah ga tau penderitaan rakyat dibawah,ppn_12_persen,negatif
tolak  bikin byk kriminal byk penganguran,ppn_12_persen,negatif
anjirrr rakyat transaksi 100 juta mesti tambah buat koruptor 12jt,ppn_12_persen,negatif
uang koruptor    ambil semua udah bisa nutup utang negara dan byr janji prabowo  mkn gratis,ppn_12_persen,negatif
pemerintah melalui dirjen pajak kewalahan dalam mencari income pendapatan terbukti dgn naiknya ppn 12usul kepada pemerintah sebaiknya batalkan pajak ppn 12pertahanka jumlah wajib pajak bahkan tingkatkan jumlah wajib pajak melalui program dan motifasi yg di galakan supaya tidak menunggak bahkan bangkrut kalau menaikan nilai ppn justru banyak yg kolapssedangkan asn pegawai negeri  dampaknya mungkin masih bisa tersenyum karena mereka tentu pemerintah sudah naik kan gaji nya,ppn_12_persen,negatif
ga ada cara lain udah lakukan demo besar besaran turunkan pajak dan minta tanggung jawab pemerintah untuk ini,ppn_12_persen,negatif
gaji pejabat kemenkeu dipotong 90,ppn_12_persen,negatif
boikot tiada guna,ppn_12_persen,negatif
potong gaji pejbat demi derita rakyat,ppn_12_persen,positif
ngak punya kemampuan kerja kalo cuma naikkin doang mah anak kecil juga bisa wilayah luas kekayaan melimpah tapi bisanya hanya memeras rakyat ngak bisa kerja namanya ini pemerintah,ppn_12_persen,negatif
makan tuh menkeu imf pasti kebijakannya pro dolar as yg naikin interest rate dampaknya  ekspor inflasi ke kita,ppn_12_persen,negatif
asikk naik 12,ppn_12_persen,negatif
bisa gak kenaikan pajak di tunda dulu dengan target kinerja menuntaskan korupsi,ppn_12_persen,negatif
sekelompok orang yang merusak apbn eh rakyat yg harus nanggung akibatnya,ppn_12_persen,negatif
ngapa harus ngajak boikot2 segala kalo pajak naik 12  syukuri  nikmati aja lah kan dah sesuai ma pilihan rakyat 58  saat pilpressaat terima bansos sembako aja pd bersuka ria tp pd gk pernah akibat dr guyuran bansos  tdk mgkn orang memberi sesuatu dgn cuma2 pasti di blkg hari timbul masalah bansos yg di terimayg tdk seberapa nilai nya suatu saat penerima bansos akan mengembali kan ber x x lipat dr nilai bansos yg di terimablm etungan bln berkuasa pajak dah naik 12  ini dampak nya luar biasa smua kebutuhan bakal naik baik kebutuhan pokok maupun yag lain nya mudah2 an rakyat 58  sadar tuk pembelajaran dalam pilpres yg akan datang supaya jeli dalam memilih pemimpin,ppn_12_persen,negatif
gaji pejabat dan tunjangan dipotong aja mau gak jangan rakyat kecil saja yg di plethet sampai habis tu darah dalam tubuh pemerintah cekik rakyat terus itu koruptor dibasmi pasti indonesia jaya,ppn_12_persen,negatif
kondisi ekonomi yg sulitmelemahdeflasi daya beli menurun  ppn naik pajak umkm balik normal ada wajib tapera iuran bpjs naik upah ngak naik subsidi dikurangikirakira kapan ya krisis ekonomi terjadi 2025 atau 2026,ppn_12_persen,negatif
harus nya jngan 12 tapi 25 biar lebih nampol,ppn_12_persen,negatif
pnn naik kalo fasilitas naik sih gak masalah jalan rusak aja masih di mana mana banjir hampir tiap tahun korupsi makin naik tunjangan dpr makin gak ngotak di tambah kpk makin bloon gitu minta ppn naik udah sinting lu mul,ppn_12_persen,negatif
tidak perlu disuruh frugal living sudah dilakukan 10 juta orang indonesia dari kalangan menengah kebawah yang sudah turun kelas menjadi warga miskin,ppn_12_persen,negatif
biar warga 58 aja yg bayar yg warga 24 sama 16 gak usah yg penting ok gas ok gas,ppn_12_persen,netral
sejak ppn naik sy lebih memilih memasak atau tidak makan dirumah makan yg dipajaki demi menghemat ekonomi keluarga yg sedang kembang kempis,ppn_12_persen,negatif
apanya yg diboikot woy gak bakaln mampu,ppn_12_persen,netral
para pejabat suruh potong tunjanganyarakyat gk merasa cari utang untuk biayai koruptor,ppn_12_persen,negatif
sorry yeeesorry yeekami kaum cerdas rt 58 rw 02 ttp mendukungjoget gemoy dan bernyanyioke gas2xtabrak pajak masukphk banyak dibiarkanmakan gratis dari hutanganokee gassoke gasstax amnesty malah gass,ppn_12_persen,negatif
pajak itu enak dan menggiurkanklo bisa naikan jadi 50,ppn_12_persen,positif
kalau ppn gak di naikan gak bisa korupsi dong,ppn_12_persen,negatif
belum lagi ppn naik 12 harga2 barang sdh mulai berangsur angsur naik apalagi sdh dinaikkan malah semakin tdk terjangkau makanya pemerintah hrs mengkaji ulang kebijakkan ini sebelum diumumkan ke publik pakai otak dikit dong srimulyono,ppn_12_persen,netral
ppn naik 12   ini penjsjahan baru pemerintah ke rakyat  semua akan merugikan bangsa dan negara,ppn_12_persen,positif
yang naikkan ppn negara yang diboikot ya negara dongsiapa penyebab masalah maka dialah yang harus bertanggung jawab menyelesaikan masalahsekarang kalau yang diboikot barangbarang kebutuhan hidup yang menderita justru para pedagang dong emangnya yang menaikan ppn pedagangpake otak kalau merencanakan sesuatu,ppn_12_persen,negatif
gw juga nolak udh cri kerja susah ppn naik ppn itu dh pendpatan paling besar di pajak bucontoh orang sakit aja beli obat kena ppn mana kesejah trannya coba,ppn_12_persen,negatif
turunkan semua pajak biar harga barang turun semua,ppn_12_persen,negatif
tai taibisa nya cuma naikin sjakpan wong cilik ini sejahteradasar si taaaaaaaaiiiiiii,ppn_12_persen,negatif
turunkan aja gaji para pejabatkalian kan berbakti utk rakyat dan negara,ppn_12_persen,negatif
ppn segeda apa pun klo koruptornya tidak di bratas percuma rakyat tidak dapat apa2 negara nyedot duit dri rakyat setelah kumpul di sedot lagi sm koruptor,ppn_12_persen,negatif
si mul gak bakalan perduli karena dia tidak akan merasakan akibat ppn naik 12 persen gajinya lebih dari seratus juta,ppn_12_persen,negatif
kebohongan besar  kenaikan ppn 1 persen mempengaruhi daya beli masyarakat ingat  kenaikan harga bukan karena ppn  contoh harga cabai mencapai100 rb itu bukan karena ppn  dan contoh lain  rakyat ingatkan  masyarakat jangan sampai terprovokasi oleh pernyataan  kelompok oligarki  dng dalih dalih  rakyat tercekik,ppn_12_persen,negatif
ayo kita tolak ppn 12,ppn_12_persen,negatif
sekarang ppn 11 tahun depan 12 naik 1 yang bayar pembeli orang desa harga sayur naik tidak pengaruhi daya beli contoh cabe naik 25100 setiap menjelang hari raya,ppn_12_persen,negatif
media ini udah terima job utk memoles kebijakan ppn 12 adalah jalan terbaik,ppn_12_persen,positif
apakah msh kurang besar korupsinya sehingga ppn dinaikan dosa kalian sungguh teramat besar menzolimi rakyat kecil,ppn_12_persen,negatif
segala macam solusi buat masalah keuangan negara adalah dg menaikan pajak dllsimple banget yaapdhl sumber dari masalah keuangan negara itu karena korupsi yg membabi buta,ppn_12_persen,negatif
nanti juga bukan ppn yang naik semua juga naik sekarang juga barang pokok naik bagaimana bahan pokok tak termasuk ppn saya bingung dengan pemerintah mungkin pejabat sudah error semua seharusnya menteri diganti cindo semua siapa tahu berubah,ppn_12_persen,negatif
rakyat terus di cekik,ppn_12_persen,positif
naikin aja sampai 100 juga gpp aku si ga bakal bayar pajak biarin gaji aja pas pas maan sebulan ga cukup buat belanja ga bakal aku mau bayar pajak umr aja kecil pajak naik kocak,ppn_12_persen,netral
buang anngaran yang tidak semestinya seperti di iknlalu seluruh negeri disuruh menanggung beban utang yang rakyat sendiri berjuang siang malam uuntuk krluarga mereka,ppn_12_persen,negatif
sri mulyani udh kelamaan jadi menkeu saatnya dia mundur banyak omongannya yg ga pantas sebagai pejabat,ppn_12_persen,negatif
tepung gandum naik bumbu dapur kemesan naik yg kena umkm  sekarang saja daya beli masyarakat semakin turun,ppn_12_persen,negatif
rakyat dimiskinkan  harusnya para koruptor dimiskinkan,ppn_12_persen,negatif
merdeka koruptor,ppn_12_persen,negatif
jeung meuli beas ge lieur pajak dtaek taekeun kapan sejahteranya rakyat kecil bu,ppn_12_persen,negatif
analisa saya kenaikan ppn 12 karna efek domino dari gagalnya tapera di terapkan makanya pemerintah mencari alternatif lain untuk memeras rakyat,ppn_12_persen,negatif
menkeu sadissss,ppn_12_persen,negatif
hidup koruptorino sy kumpuli duit lagi buat lutolong pemerintah jgn naikan pajak dulu lu urus koruptor tu praroro,ppn_12_persen,negatif
jelas yg kena kelas menengah,ppn_12_persen,positif
kelamaan jadi menteri keuangansrimulyani makin menyengsarakan rakyatbuta nurani,ppn_12_persen,negatif
biar produk lokal makin jaya biar yg kaya yg rasain beli mahal2,ppn_12_persen,positif
pajak teruusss kaya jaman majapahit yg di kejar pajak,ppn_12_persen,negatif
memang aneh pemerintahan sekarang pajak di naikan koruptor dipelihara daya beli masyarakat turun pemerintahan tutup mata dasar brengsek,ppn_12_persen,negatif
rampok berkedok pajakperingkat no1,ppn_12_persen,negatif
pajak naik manfaat untuk masyarakat 0 manfaat untuk koruptor adalah 100,ppn_12_persen,negatif
aman aman saja rakyat gak mungkin sengsara pemerintah sudah memperhitungkan itu,ppn_12_persen,negatif
biaya hidup bertambah penghasilan makin kecillapangan kerja sulit tekanan ekonomi bertambah dampak ke psikologis,ppn_12_persen,negatif
ini akibat anggaran boncos era mulyono,ppn_12_persen,negatif
dari zaman belanda sampai sekarang rakyat indonesia di pajakin,ppn_12_persen,positif
kayak zaman belanda kena pajak sama upeti,ppn_12_persen,negatif
pajak2 terus sampai rakyat miskinnggak maju2,ppn_12_persen,negatif
merdeka semakin merdeka rakyat kita mampu membayar pajak yg luar biasa,ppn_12_persen,positif
naikin aja terus itu pajak dah naik kakulasi perihtungan pph 21 yg baru bikin miskin   hadew,ppn_12_persen,negatif
untuk apa pemerintah menaikan pajak salah satu nya adalah untuk meningkatkan para korupsi atau koruptordan membahagiakan keluarga pejabat pejabat negaraserta meningkat kan tunjangan tunjangan anggota dewan dewanterakhir untuk mencekik rakyat miskin,ppn_12_persen,negatif
makin kaya raya koruptor,ppn_12_persen,negatif
penjajahan gaya baru telah di mulai  ini jahat banget  rakyat sudah susah malah di tindas  penjajah memang tidak berprikemanusiaan  rakyat di miskin kan tp ketika pemilu di kasih bansos di manfaatkan suaranya  ini yg tidak di sadari  sbagian saudara 2 kita,ppn_12_persen,positif
gila indonesia tertinngi di dunia 12 ada kemana uang negara di negri ini,ppn_12_persen,negatif
sesuka hati kalian saja sebagai pejabat pembuat kebijakan di gedung kura kura sana membuat kebijakan kebijakan dan aturan aturan yang harus di taati oleh rakyat yang pada akhirnya itu semua akan menguntungkan bagi mereka di gedung kura kura sana membuat dan mengganti ganti kebijakan saja pekerjaannya disana tapi bukan untuk memudahkan dan mensejahterakan rakyat menyedihkannkrimiris,ppn_12_persen,netral
jeng sri kapan sih punya pikiran ingin mensejahterakan rakyatnya,ppn_12_persen,negatif
jika pajak naik untuk tujuan negara ini maju dan kuat saya setuju  bahkan saya menanti negara kita akan kuat dari segi ekonomi  finansial rakyat jika nanti nya terjadi inflasi naik tiap kurun waktu sampai 30  negara kita tidak akan terasa dampak nya  kecuali pajak itu untuk koruptor negara ini akan stucknun terus dan hutang terus bertambah dan dampaknya pemerintah akan menghilangkan kewajiban nya seperti subsidi  bantuan pelayanan jasakesehatan dan pendidikan semua akan dipaksa ditiadakanitulah sisi gelap dari kebutuhan hidup bergantung dengan uang fiat,ppn_12_persen,negatif
pajak terus digenjot rakyat diperas negara,ppn_12_persen,negatif
apa hebat nya menteri mulyani tau nya cuma naikin pajak dialah biang kerok hancurnya ekonomi,ppn_12_persen,negatif
tradisi ganti presiden  naik pajak naik harga  naik anggaran negara naik kesejahtraan pejabat,ppn_12_persen,negatif
pajak semakin kayarakyat semakin miskin,ppn_12_persen,negatif
yang perlu digarisbawahi meningkatkan pendapatan negara bukan meningkatkan peluang korupsi,ppn_12_persen,negatif
pajak dianaikinbuat kas negaratapi pembangunan  infrastuktur ngutang,ppn_12_persen,positif
syokorinterimalah warisan si plonga plongo jokowi dkkmakin plonga plongo mereka makin berpesta dgn fasilitas negara,ppn_12_persen,positif
beli  hp pulsa di pajakain lagi wei bosan tinggal di indonesia,ppn_12_persen,negatif
pajak naik koruptor makin tertarik,ppn_12_persen,negatif
5 humanis 12 lintah darat dasar,ppn_12_persen,positif
yang membangkang tindak tegas dan terukur yg penting tarik pajak dulu urusan belakangan,ppn_12_persen,positif
dpr nya itu di bubar kan gaji nya dan dana yg kunjungan sana sini nya itudikasih kn rakyat karena rakyat gk perlu perwakilan apa lagi masalah uang kalok banyak perwakilan pasti gk sampai ke rakyat,ppn_12_persen,negatif
kalau penghasilan negara dari sektor non pajak meningkat ga usah naikin ppn lagi,ppn_12_persen,negatif
untuk bisnis distribusi di pasar basah bukan pasar modern spt supermarket untuk snack eceran 500 1000 2000 ga bisa naik jadi 505 1010 2020 tetep saja 500 1000 2000 maka kenaikan ppn bukan ditanggung oleh konsumen tapi oleh retailer yaitu warung2 pengusaha kecil,ppn_12_persen,netral
restoran tidak kena ppn tapi bahan baku yg dibeli restoran kan naik krn ppn nya naik shg hpp resgo naik maka harga masakannya juga akan naik,ppn_12_persen,negatif
barang dan jasa yg tidak kena ppn itu mah dari dulu begitu ga ada terkorelasi dg kenaikan tarif ppn seolah2 itu keringanan sbg penyeimbang dampak kenaikan ppn,ppn_12_persen,negatif
